Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,regret,iteration
0.20009996,-0.10548805,0.18334894,0.4531324,-0.3382058,-0.16572255,-0.09580079,0.030965466,-0.013309279,-4.0549316e-05,-0.00021672675,0.79990005,0.0
8.813188e-06,0.36011755,-0.22951043,0.3663782,-0.72967577,-0.2016418,0.6051012,-0.8709631,0.3829279,-0.7046341,-0.502264,0.79990005,1.0
8.664915e-05,-0.22404599,0.23370695,-0.82187116,-0.4391893,0.19477212,-0.6659024,-0.26083183,0.16166997,0.7250999,0.5137445,0.79990005,2.0
0.00010843742,-0.3695165,0.4013449,-0.29169047,-0.16323423,0.11404848,-0.1662457,-0.55056834,0.7185627,0.9899267,0.1814605,0.79990005,3.0
3.0645333e-05,0.016627908,0.93602633,-0.47773874,-0.16599464,0.21649206,-0.26136363,-0.5980879,-0.4421177,-0.7765782,-0.44115365,0.79990005,4.0
1.34063275e-05,0.89087117,0.26378632,0.3107015,0.43936038,-0.24236882,0.76695013,0.35261333,-0.66336775,0.41567528,0.5176915,0.79990005,5.0
0.00013229299,-0.3983482,0.10648453,0.19467115,-0.19798338,0.98576,0.7317643,0.22883976,0.22950768,-0.3328508,0.5123235,0.79990005,6.0
5.9884144e-07,0.21153629,0.64008904,0.3278587,-0.5029502,0.7979541,0.6567706,-0.09201813,0.7196536,0.9661721,-0.48910105,0.79990005,7.0
2.0811299e-06,-0.4002658,-0.7059531,0.9107598,-0.95209956,-0.63908064,-0.07024324,-0.083291054,-0.18309224,-0.14463878,-0.6335232,0.79990005,8.0
4.1444014e-08,0.9482918,-0.7609339,0.72559166,-0.5374682,-0.0827235,-0.9157263,0.2648213,-0.70862937,0.71647906,-0.15833914,0.79990005,9.0
0.00015586645,-0.3161242,0.2628839,0.1755706,-0.7569549,0.40992785,-0.17652452,-0.61452746,0.07740903,0.5870639,0.7009264,0.79990005,10.0
8.6709434e-10,0.82650876,-0.8777268,-0.36927426,-0.73862565,0.88932455,-0.07153249,0.8724407,-0.81363654,0.88683534,-0.27452993,0.79990005,11.0
1.3257223e-06,-0.36228764,-0.39876902,0.83299017,0.24725091,-0.6425735,0.24181461,-0.49211538,0.6530236,-0.8117119,-0.73433304,0.79990005,12.0
1.395991e-06,0.24318743,-0.9617903,-0.31763756,-0.80490017,0.18940294,-0.5508126,0.03858626,-0.9127865,0.6808816,0.0014711618,0.79990005,13.0
