Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.50703394,0.5557927,0.9804473,0.12793994,0.5208165,0.40250218,0.1242277,0.48612761,0.0
0.59496754,0.51952404,0.9822857,0.120349,0.540962,0.40981594,0.13043103,0.48612761,1.0
0.6919199,0.47497317,0.9848729,0.11109989,0.5654928,0.41888046,0.13828453,0.48612761,2.0
0.71753174,0.4211743,0.98777264,0.100141935,0.59496737,0.42962536,0.14753427,0.48612761,3.0
0.64987427,0.3654405,0.9907572,0.08775052,0.62618023,0.44100702,0.15727195,0.48612761,4.0
0.55630875,0.31569666,0.9941859,0.077924244,0.65434885,0.4493468,0.16546695,0.48612761,5.0
0.43984392,0.2677774,0.9978221,0.07781273,0.6628174,0.4500857,0.16576593,0.48612761,6.0
0.36263585,0.23359245,0.99870986,0.07004984,0.66691476,0.4548443,0.1690643,0.48612761,7.0
0.34006488,0.22178286,0.99248356,0.0700767,0.66688687,0.45503578,0.16893393,0.48612761,8.0
0.34028602,0.22001491,0.99166316,0.07260643,0.66572213,0.45358455,0.1665132,0.48612761,9.0
0.334939,0.22165652,0.98879135,0.06966301,0.6700598,0.45533323,0.16894677,0.48612761,10.0
0.33604506,0.22108139,0.9993647,0.069771126,0.6679486,0.45532438,0.17130399,0.48612761,11.0
0.340846,0.22142792,0.9990663,0.06916518,0.6678426,0.45493397,0.16915685,0.48612761,12.0
0.3406526,0.2201999,0.99808884,0.07269251,0.66578245,0.45329982,0.1682418,0.48612761,13.0
0.34750298,0.22153722,0.9981327,0.07073256,0.66984653,0.45492792,0.169088,0.48612761,14.0
0.34477168,0.2205087,0.9996788,0.07033507,0.6645099,0.45424247,0.16839261,0.48612761,15.0
0.34401456,0.22546577,0.99389154,0.056406442,0.6675307,0.4541821,0.17204554,0.48612761,16.0
0.33178028,0.21959276,0.99588966,0.06660309,0.6666445,0.45488524,0.16917504,0.48612761,17.0
0.34189194,0.22119534,0.99848974,0.07039606,0.6663048,0.45483193,0.16903552,0.48612761,18.0
