Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.3072207,0.3093177,0.0921126,0.8493653,0.25908846,0.09802818,0.6271108,0.6914486,0.0
0.31773415,0.29509303,0.08966389,0.83891207,0.25850388,0.09884026,0.6141471,0.6914486,1.0
0.31329092,0.28015065,0.08708934,0.8278051,0.25828412,0.099749975,0.6005166,0.6914486,2.0
0.32287967,0.26568726,0.08457838,0.8168914,0.25812072,0.100542605,0.5870324,0.6914486,3.0
0.33502716,0.25037602,0.08188079,0.8055528,0.25774553,0.10138362,0.57303625,0.6914486,4.0
0.3194248,0.23420618,0.07888608,0.79349786,0.25739926,0.10238212,0.5583155,0.6914486,5.0
0.32127073,0.21895003,0.07629859,0.78247005,0.25707167,0.10317144,0.5446418,0.6914486,6.0
0.32420123,0.20388748,0.07372124,0.77135646,0.2567702,0.103965566,0.5304743,0.6914486,7.0
0.33428913,0.18840832,0.071101904,0.7600608,0.25684878,0.10486372,0.5163603,0.6914486,8.0
0.32654884,0.17303574,0.06837061,0.7478695,0.2575068,0.106277496,0.50104403,0.6914486,9.0
0.33187753,0.17126301,0.06598153,0.74262077,0.2575068,0.106277496,0.50104403,0.6914486,10.0
0.3211721,0.16915183,0.057950273,0.7477288,0.25754556,0.10613474,0.5011575,0.6914486,11.0
0.31639764,0.1636093,0.06770773,0.7532799,0.2544204,0.106336154,0.5010643,0.6914486,12.0
0.32364905,0.16853069,0.06068579,0.7478695,0.2575068,0.106277496,0.50104403,0.6914486,13.0
0.33075216,0.16808839,0.06341371,0.7428514,0.25910664,0.10572717,0.5049897,0.6914486,14.0
0.32766604,0.17040719,0.064507544,0.7440725,0.2584239,0.106277496,0.50104403,0.6914486,15.0
0.31931832,0.16595535,0.069377035,0.7488437,0.2575068,0.106277496,0.50104403,0.6914486,16.0
0.3340339,0.16671272,0.06857649,0.74815947,0.2575068,0.106277496,0.50104403,0.6914486,17.0
0.33370602,0.16903837,0.06025658,0.7475489,0.25757095,0.10632526,0.50099856,0.6914486,18.0
0.31511948,0.16186942,0.05652611,0.75454223,0.252214,0.104647905,0.50484425,0.6914486,19.0
0.32057318,0.16967626,0.04937774,0.7503383,0.25867298,0.10613474,0.5011575,0.6914486,20.0
0.3153312,0.16800159,0.06358638,0.7477288,0.25754556,0.10613474,0.5011575,0.6914486,21.0
0.31315035,0.17133042,0.04949048,0.74815947,0.2575068,0.106277496,0.50104403,0.6914486,22.0
0.32330954,0.16903837,0.06025658,0.7475489,0.25757095,0.10632526,0.50099856,0.6914486,23.0
0.32463023,0.16186942,0.05652611,0.75454223,0.252214,0.104647905,0.50484425,0.6914486,24.0
0.33132473,0.16853818,0.062284015,0.74465966,0.26480943,0.10305223,0.50330365,0.6914486,25.0
0.3246979,0.16186942,0.05652611,0.75454223,0.252214,0.104647905,0.50484425,0.6914486,26.0
0.32820156,0.16903837,0.06025658,0.7475489,0.25757095,0.10632526,0.50099856,0.6914486,27.0
0.31773153,0.16567259,0.06979955,0.7496101,0.2570741,0.106277496,0.50104403,0.6914486,28.0
0.32100347,0.16355196,0.06763788,0.75327855,0.2544137,0.10633722,0.5010638,0.6914486,29.0
0.32169938,0.1694179,0.057491,0.7477788,0.25778982,0.106267,0.5011272,0.6914486,30.0
0.31881544,0.17089199,0.066220395,0.7432879,0.25803086,0.106277496,0.50104403,0.6914486,31.0
0.31633228,0.16903837,0.06025658,0.7475489,0.25757095,0.10632526,0.50099856,0.6914486,32.0
0.33319977,0.16683874,0.06883913,0.7479716,0.25753918,0.106390715,0.5011384,0.6914486,33.0
0.32155704,0.16854037,0.060874842,0.7478476,0.25751978,0.10627686,0.5010475,0.6914486,34.0
0.33139452,0.1707335,0.064507544,0.7440725,0.2584239,0.106277496,0.50104403,0.6914486,35.0
0.324232,0.16421153,0.06312036,0.7534308,0.2583381,0.10689574,0.5011713,0.6914486,36.0
0.3302741,0.16866557,0.060714573,0.74780715,0.2574686,0.106290966,0.5010423,0.6914486,37.0
0.31344342,0.16368303,0.067427844,0.7532443,0.25447476,0.1063514,0.50107425,0.6914486,38.0
0.32530007,0.17489716,0.06589176,0.7416891,0.26291704,0.109502174,0.49849606,0.6914486,39.0
