Y,X1,X2,regret,iteration
0.8856733,-0.8106823,0.106381655,0.1120643,0.0
0.92006755,-0.74704325,0.10638166,0.1120643,1.0
0.93702286,-0.71457845,0.10638167,0.1120643,2.0
0.93004364,-0.7148258,0.10638167,0.1120643,3.0
0.9333919,-0.7148258,0.10638167,0.1120643,4.0
0.9357981,-0.7148272,0.10638166,0.1120643,5.0
0.93464035,-0.7156215,0.118801355,0.1120643,6.0
0.9346212,-0.7156215,0.118801355,0.1120643,7.0
0.9354626,-0.7156215,0.118801355,0.1120643,8.0
0.9320095,-0.7148258,0.10638167,0.1120643,9.0
0.938952,-0.7156215,0.118801355,0.1120643,10.0
0.9291436,-0.7156215,0.118801355,0.1120643,11.0
0.92898816,-0.71565837,0.118882075,0.1120643,12.0
0.93126416,-0.7156215,0.118801355,0.1120643,13.0
0.9363696,-0.7156215,0.118801355,0.1120643,14.0
0.94291705,-0.7156215,0.118801355,0.1120643,15.0
0.9348102,-0.7156215,0.118801355,0.1120643,16.0
0.9441196,-0.7150328,0.11228607,0.1120643,17.0
0.9274336,-0.71486956,0.105855584,0.1120643,18.0
0.9445856,-0.7156215,0.118801355,0.1120643,19.0
0.92937326,-0.7154518,0.09586168,0.1120643,20.0
0.9361183,-0.7156215,0.118801355,0.1120643,21.0
0.93616843,-0.7148877,0.10638166,0.1120643,22.0
0.9270035,-0.71484107,0.10705945,0.1120643,23.0
0.93607277,-0.7156215,0.118801355,0.1120643,24.0
0.93830955,-0.72399175,0.14715375,0.1120643,25.0
0.93864924,-0.7148713,0.10830133,0.1120643,26.0
0.9429697,-0.7149826,0.11116737,0.1120643,27.0
0.9375963,-0.7156215,0.118801355,0.1120643,28.0
0.9432626,-0.7156215,0.118801355,0.1120643,29.0
0.94610304,-0.7156215,0.118801355,0.1120643,30.0
0.9325843,-0.7156215,0.118801355,0.1120643,31.0
0.93759876,-0.7156215,0.118801355,0.1120643,32.0
0.9431855,-0.7156215,0.118801355,0.1120643,33.0
0.9376737,-0.71487015,0.10450731,0.1120643,34.0
0.9458678,-0.7156215,0.118801355,0.1120643,35.0
0.9421668,-0.7249889,0.14927831,0.1120643,36.0
0.930157,-0.714829,0.10637525,0.1120643,37.0
0.94817716,-0.7156215,0.118801355,0.1120643,38.0
0.9455047,-0.7148656,0.10638167,0.1120643,39.0
0.9417901,-0.7156215,0.118801355,0.1120643,40.0
0.9438368,-0.7156215,0.118801355,0.1120643,41.0
