Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.30855137,0.3093177,0.0921126,0.8493653,0.25908846,0.09802818,0.6271108,0.6914486,0.0
0.0076836552,0.43346608,0.42228127,0.041398466,0.020718277,0.74517566,0.14980495,0.6914486,1.0
0.124642484,0.3435256,0.5346559,0.5909307,0.11799306,0.092303514,0.37376004,0.6914486,2.0
0.0072085666,0.69063103,0.34659773,0.44216472,0.73502105,0.6877112,0.36715454,0.6914486,3.0
0.06147556,0.3747216,0.8931905,0.29881525,0.010548115,0.32234192,0.6161771,0.6914486,4.0
0.4220383,0.20945597,0.074591756,0.546271,0.45275462,0.5111479,0.641441,0.5779617,5.0
0.031095313,0.52803355,0.39329726,0.81939757,0.46736377,0.71735793,0.3886894,0.5779617,6.0
0.35094535,0.48711812,0.9929979,0.85346544,0.39270437,0.4632368,0.22122043,0.5779617,7.0
0.06530145,0.059725344,0.8275969,0.65479696,0.80251426,0.9288801,0.10950118,0.5779617,8.0
0.011274893,0.9298345,0.9609503,0.6300921,0.38973027,0.13091809,0.6427389,0.5779617,9.0
0.01216799,0.37244654,0.7779845,0.3642109,0.3566391,0.7475865,0.92263937,0.5779617,10.0
0.004465415,0.018342376,0.25908256,0.10954851,0.91995686,0.54271156,0.5172417,0.5779617,11.0
0.3811789,0.27978128,0.12259722,0.83525026,0.07660818,0.34325725,0.8484275,0.5779617,12.0
0.46627897,0.06384897,0.17342228,0.06462628,0.16946894,0.42432398,0.5840939,0.533721,13.0
0.011570282,0.6259126,0.8372961,0.4399264,0.6294692,0.050115585,0.8666214,0.533721,14.0
0.018665971,0.23814726,0.7247149,0.14326221,0.0824309,0.68948287,0.53744507,0.533721,15.0
0.01174099,0.8057802,0.47044057,0.7352352,0.7326415,0.8981941,0.04176283,0.533721,16.0
0.04996955,0.8172819,0.17048138,0.6168815,0.194,0.3042572,0.20698565,0.533721,17.0
0.24986161,0.4486239,0.6834915,0.64706695,0.23344845,0.28766543,0.5613301,0.533721,18.0
0.052116085,0.5436558,0.6635931,0.71724766,0.9035212,0.97414356,0.31260204,0.533721,19.0
0.0011304521,0.7319375,0.9613935,0.1117025,0.32691807,0.7562104,0.77047557,0.533721,20.0
0.009843912,0.66277564,0.735358,0.42239535,0.26937985,0.9050628,0.4831103,0.533721,21.0
0.007147855,0.8739605,0.5529298,0.93478763,0.9554387,0.4296705,0.55749506,0.533721,22.0
0.0370634,0.40064842,0.5959218,0.14275765,0.5739709,0.07972574,0.95133924,0.533721,23.0
0.025540868,0.19802135,0.53876185,0.915205,0.20866114,0.806742,0.3453976,0.533721,24.0
0.027592795,0.26817244,0.6908912,0.23219985,0.7982186,0.34073466,0.5825937,0.533721,25.0
0.026420468,0.44874716,0.30968875,0.86180466,0.2688526,0.73380595,0.9844152,0.533721,26.0
0.04019808,0.49276572,0.31542468,0.59794575,0.78010124,0.7852461,0.007735431,0.533721,27.0
0.062419277,0.7280843,0.087230444,0.42247427,0.38833588,0.48954237,0.26683682,0.533721,28.0
0.1447467,0.5375698,0.48388833,0.736251,0.70887154,0.42789173,0.9457522,0.533721,29.0
0.04560037,0.6282856,0.3557356,0.9646823,0.62702394,0.39734703,0.12448919,0.533721,30.0
0.29493764,0.51534563,0.61019087,0.40699017,0.21765435,0.27207476,0.7788455,0.533721,31.0
0.02323097,0.8621969,0.705195,0.70612407,0.40676677,0.25875807,0.2251674,0.533721,32.0
0.16549386,0.23006296,0.012891054,0.44506478,0.4203654,0.5531591,0.94939977,0.533721,33.0
0.36047813,0.464683,0.0016780496,0.1882897,0.14840096,0.29050672,0.4265893,0.533721,34.0
0.047420967,0.9476045,0.4689858,0.18959856,0.13538563,0.0924356,0.62677646,0.533721,35.0
0.006209324,0.22638112,0.75248456,0.25138128,0.88909394,0.1661154,0.6634549,0.533721,36.0
0.0001059833,0.98451686,0.54985416,0.08478576,0.11040032,0.90745634,0.2536074,0.533721,37.0
0.06781194,0.9776664,0.37809533,0.46239245,0.40941972,0.4900763,0.7507762,0.533721,38.0
0.025654383,0.39452255,0.42105776,0.53941834,0.9752673,0.98752844,0.17842215,0.533721,39.0
0.0010855189,0.99440753,0.3147583,0.15055281,0.4006102,0.8122099,0.8657621,0.533721,40.0
0.028967459,0.5487869,0.3636973,0.84115094,0.06206268,0.63166964,0.38633543,0.533721,41.0
0.007824913,0.6583119,0.106865704,0.597303,0.4199795,0.87408954,0.8323311,0.533721,42.0
0.017673964,0.052711606,0.6465897,0.832187,0.9583041,0.42726648,0.64103204,0.533721,43.0
0.046893504,0.76064825,0.47096872,0.6151865,0.43312252,0.4910949,0.2979551,0.533721,44.0
0.140789,0.093519926,0.7228473,0.9194744,0.39935905,0.19310468,0.68223846,0.533721,45.0
0.008816029,0.98347396,0.07943314,0.5218509,0.5697866,0.6597693,0.7306041,0.533721,46.0
0.0061080754,0.46469367,0.8804317,0.33194935,0.6936955,0.57270795,0.8503949,0.533721,47.0
0.0008836909,0.7834521,0.49903888,0.6001807,0.8330998,0.8078344,0.5466266,0.533721,48.0
0.005987031,0.8700592,0.3755865,0.87550485,0.6826599,0.42690152,0.19979805,0.533721,49.0
0.002995871,0.6905707,0.98633885,0.45318794,0.8010883,0.34940684,0.7846182,0.533721,50.0
0.001460956,0.9543852,0.38431072,0.896286,0.5879908,0.019667864,0.09478974,0.533721,51.0
0.023623247,0.317869,0.44188756,0.71133304,0.07083124,0.14644963,0.003486812,0.533721,52.0
0.0080318395,0.8734434,0.82158285,0.7792423,0.38033372,0.84981424,0.24539763,0.533721,53.0
0.0004258196,0.9752637,0.85961014,0.47882545,0.33065718,0.83465093,0.42269468,0.533721,54.0
0.005496199,0.70929474,0.6629988,0.63700503,0.90823346,0.5189355,0.62432885,0.533721,55.0
0.00016389537,0.9667827,0.47970986,0.30853212,0.44941097,0.9635162,0.44628465,0.533721,56.0
0.21777831,0.17552722,0.0024436116,0.25600892,0.07776147,0.5489579,0.75834095,0.533721,57.0
0.14179067,0.38655627,0.83018655,0.0057730675,0.6661656,0.6827628,0.39108795,0.533721,58.0
7.312597e-06,0.49929905,0.8410632,0.0402506,0.91468555,0.9225296,0.9604785,0.533721,59.0
0.12953205,0.04031068,0.6151402,0.5226242,0.27900624,0.6453387,0.4458683,0.533721,60.0
0.05581744,0.42007983,0.33021706,0.73022234,0.45112097,0.6924654,0.32555383,0.533721,61.0
0.008241216,0.96746254,0.26297426,0.70580244,0.69341546,0.13909066,0.34943599,0.533721,62.0
0.28670812,0.028754652,0.54244345,0.8868279,0.6756491,0.14151275,0.9260757,0.533721,63.0
0.005526641,0.21776235,0.9071261,0.6149521,0.7879107,0.694239,0.79206336,0.533721,64.0
0.023698846,0.115829706,0.5611705,0.1018461,0.6558639,0.7031972,0.36981976,0.533721,65.0
0.013188982,0.71013045,0.7034641,0.7579737,0.7725558,0.47552842,0.60744536,0.533721,66.0
0.0035791995,0.8813069,0.13480562,0.25413465,0.8768672,0.112348676,0.8561347,0.533721,67.0
0.081092015,0.00411433,0.16207987,0.41934556,0.572856,0.70681465,0.5881447,0.533721,68.0
