Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.95904833,101.99805,77.84436,-45.97888,135.46423,-67.60388,210.87054,0.041573703,0.0
0.94334865,90.43646,56.68573,-42.83737,148.70256,-78.236496,247.83691,0.041573703,1.0
0.938161,79.80564,37.17648,-40.022854,160.87834,-88.0821,281.88068,0.041573703,2.0
0.9239852,69.51905,17.924797,-37.15399,172.34111,-97.50588,314.96423,0.041573703,3.0
0.92298067,59.30771,0.5945492,-34.89017,183.73434,-106.35658,345.0735,0.041573703,4.0
0.89890873,50.500195,-16.911638,-33.144547,195.1327,-114.81662,375.35947,0.041573703,5.0
0.8990329,42.69473,-30.978596,-30.929823,204.91411,-122.23105,401.42667,0.041573703,6.0
0.88245314,33.959595,-45.959473,-30.0492,214.06808,-130.43938,426.7868,0.041573703,7.0
0.871784,21.409521,-68.945244,-28.338545,212.92255,-136.27075,438.00955,0.041573703,8.0
0.8828454,21.524431,-64.794334,-27.905302,215.60944,-135.68224,439.55112,0.041573703,9.0
0.88712937,21.664642,-69.066124,-28.520689,212.7833,-136.23515,438.01413,0.041573703,10.0
0.8813765,21.16057,-68.367035,-28.284771,212.98274,-136.24411,438.04443,0.041573703,11.0
0.8670633,29.44539,-68.3115,-28.0419,227.9233,-139.35483,434.17407,0.041573703,12.0
0.8695936,22.136703,-65.17403,-39.70772,223.28911,-128.70964,439.42633,0.041573703,13.0
0.8806508,39.38054,-77.28144,-28.450066,212.72826,-136.26787,438.02246,0.041573703,14.0
0.8750718,44.065643,-55.599873,-33.779194,224.03612,-141.21895,447.4145,0.041573703,15.0
0.86740243,21.16057,-68.367035,-28.284771,212.98274,-136.24411,438.04443,0.041573703,16.0
0.87566435,22.085379,-68.945244,-28.338545,212.92255,-136.27075,438.00955,0.041573703,17.0
0.88221437,21.16057,-68.367035,-28.284771,212.98274,-136.24411,438.04443,0.041573703,18.0
0.8817767,21.16057,-68.367035,-28.284771,212.98274,-136.24411,438.04443,0.041573703,19.0
0.88241833,21.16057,-68.367035,-28.284771,212.98274,-136.24411,438.04443,0.041573703,20.0
0.8826185,28.115513,-69.781364,-22.366745,214.0129,-138.43642,437.98648,0.041573703,21.0
0.8686818,22.999767,-69.52102,-28.868887,212.92842,-136.18983,437.94836,0.041573703,22.0
