Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.950725,-40.185303,-237.9794,-40.28601,108.51007,171.29034,-28.328613,0.048897505,0.0
0.9496604,-56.746693,-280.26242,-40.28601,108.51007,171.29034,-28.328613,0.048897505,1.0
0.9186751,-73.1437,-322.33405,-40.116547,108.66794,171.46489,-27.87196,0.048897505,2.0
0.915705,-86.494576,-357.67618,-40.116543,108.66793,171.46489,-27.87196,0.048897505,3.0
0.9082234,-100.117485,-392.15503,-40.097942,108.686,171.48865,-27.822079,0.048897505,4.0
0.8809664,-112.90193,-425.0493,-40.097942,108.686,171.48865,-27.822079,0.048897505,5.0
0.86698496,-123.434006,-451.85608,-40.097942,108.686,171.48865,-27.822079,0.048897505,6.0
0.86612236,-132.726,-475.57343,-40.065567,108.686,171.48865,-27.822079,0.048897505,7.0
0.8568789,-141.53119,-499.25677,-40.06557,108.686,171.48865,-27.822079,0.048897505,8.0
0.8468994,-150.21704,-520.6251,-40.150455,108.6811,171.48839,-27.821627,0.048897505,9.0
0.82270646,-157.75209,-539.8946,-40.150455,108.6811,171.48839,-27.821627,0.048897505,10.0
0.818566,-162.82594,-553.9361,-40.150455,108.6811,171.48839,-27.821627,0.048897505,11.0
0.80972826,-167.69138,-567.004,-40.150455,108.6811,171.48839,-27.821627,0.048897505,12.0
0.8138254,-171.7715,-578.1189,-40.150455,108.6811,171.48839,-27.821627,0.048897505,13.0
0.80890745,-176.59009,-589.9941,-40.15046,108.6811,171.48839,-27.821627,0.048897505,14.0
0.7952389,-181.54752,-599.9197,-40.15573,108.71404,171.49013,-27.822695,0.048897505,15.0
0.80220854,-183.71785,-599.1801,-40.62641,108.368126,171.34012,-27.570608,0.048897505,16.0
0.80191183,-182.66255,-599.8719,-40.25556,108.72842,171.44696,-27.966429,0.048897505,17.0
0.79777956,-189.90631,-599.72675,-42.05772,105.19983,171.66806,-29.53499,0.048897505,18.0
0.78766316,-193.22307,-599.8871,-42.262787,105.19983,171.66806,-29.53499,0.048897505,19.0
0.79427844,-194.38855,-599.9414,-42.356438,105.15975,171.6816,-29.539724,0.048897505,20.0
0.78770953,-199.1634,-599.8266,-42.18497,105.15975,171.6816,-29.539724,0.048897505,21.0
0.7917763,-202.1766,-599.74963,-42.014267,105.15975,171.6816,-29.539724,0.048897505,22.0
0.7982628,-203.52657,-599.9758,-42.41843,105.16917,171.68646,-29.53654,0.048897505,23.0
0.7854196,-201.34518,-599.9758,-42.41843,105.16917,171.68646,-29.53654,0.048897505,24.0
0.7829773,-203.52657,-599.9758,-42.41843,105.16917,171.68646,-29.53654,0.048897505,25.0
0.78351456,-210.89839,-599.87164,-42.02494,107.26869,171.68646,-29.53654,0.048897505,26.0
0.79382825,-211.66412,-599.8348,-42.322155,107.26869,171.68646,-29.53654,0.0489226,27.0
0.7863639,-211.70537,-599.863,-41.948677,107.31911,171.78143,-29.53654,0.048897505,28.0
0.7974133,-219.339,-599.6576,-39.954414,106.75041,171.43628,-29.53654,0.048897505,29.0
0.7929573,-226.46992,-599.2806,-40.516933,107.455,171.43628,-29.53654,0.048897505,30.0
0.78353184,-231.54495,-599.62506,-40.98753,106.860176,171.78218,-29.430737,0.048897505,31.0
0.7920462,-235.9612,-599.7846,-41.157948,106.625114,171.78218,-29.430737,0.048897505,32.0
0.78663176,-238.67506,-599.9987,-41.37106,106.49613,171.78218,-29.430737,0.048897505,33.0
0.77972454,-239.62364,-599.66846,-40.842567,106.61535,171.62459,-29.525553,0.048897505,34.0
0.7892062,-238.67506,-599.9987,-41.37106,106.49613,171.78218,-29.430737,0.048897505,35.0
0.77800566,-239.72906,-599.66315,-41.574593,107.04684,171.60834,-29.232365,0.048897505,36.0
0.77589583,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,37.0
0.7878627,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,38.0
0.78759694,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,39.0
0.78254855,-239.6488,-599.6461,-40.800148,106.64276,171.61461,-29.532211,0.048897505,40.0
0.7836203,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,41.0
0.79391694,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,42.0
0.7857424,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,43.0
0.77685714,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,44.0
0.776295,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,45.0
0.7908873,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,46.0
0.77983,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,47.0
0.77952284,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,48.0
0.78111595,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,49.0
0.783739,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,50.0
0.7826784,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,51.0
0.77564454,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,52.0
0.7843022,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,53.0
0.7918945,-241.42874,-598.7371,-41.73533,105.92057,171.81203,-29.412632,0.048897505,54.0
0.7924641,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,55.0
0.79241556,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,56.0
0.794312,-239.2478,-599.77905,-41.80836,107.06162,171.78218,-29.430737,0.048897505,57.0
0.7838346,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,58.0
0.789441,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,59.0
0.77549875,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,60.0
0.7853873,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,61.0
0.7834779,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,62.0
0.78631353,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,63.0
0.7796525,-239.67662,-599.6206,-40.9645,106.61535,171.62459,-29.525553,0.048897505,64.0
0.7775313,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,65.0
0.7928625,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,66.0
0.7777494,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,67.0
0.78109604,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,68.0
0.7919687,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,69.0
0.78629684,-240.14465,-599.5022,-39.910034,106.849396,171.5488,-29.639574,0.048897505,70.0
0.783929,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,71.0
0.77960235,-239.83038,-599.512,-40.68808,106.44501,171.61752,-29.460018,0.048897505,72.0
0.7783847,-239.73804,-599.6179,-41.56056,106.86784,171.60474,-29.200333,0.048897505,73.0
0.7777009,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,74.0
0.79478884,-239.6488,-599.6461,-40.800148,106.64276,171.61461,-29.532211,0.048897505,75.0
0.7909782,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,76.0
0.77858037,-239.64531,-599.69086,-40.97476,106.60192,171.61746,-29.533007,0.048897505,77.0
