anchor_idx,radius,max_dist,n_escaped,n_total
0,0.03491806611418724,0.03491811826825142,0,10
0,0.03491806611418724,0.034918107092380524,0,10
1,0.030022764578461647,0.030022813007235527,0,10
0,0.03491806611418724,0.03491809219121933,0,10
1,0.030022764578461647,0.030022816732525826,0,10
2,0.02639273926615715,0.026392797008156776,0,10
0,0.03491806611418724,0.03491809591650963,0,10
1,0.030022764578461647,0.030022820457816124,0,10
2,0.02639273926615715,0.026392772793769836,0,10
3,0.022024931386113167,0.022024983540177345,0,10
0,0.03491806611418724,0.03491811826825142,0,10
1,0.030022764578461647,0.030022799968719482,0,10
2,0.02639273926615715,0.02639278769493103,0,10
3,0.022024931386113167,0.022024989128112793,0,10
4,0.0182869341224432,0.018286990001797676,0,10
0,0.03491806611418724,0.034918103367090225,0,10
1,0.030022764578461647,0.030022818595170975,0,10
2,0.02639273926615715,0.026392797008156776,0,10
3,0.022024931386113167,0.022024977952241898,0,10
4,0.0182869341224432,0.018286993727087975,0,10
5,0.015315520577132702,0.015315569937229156,0,10
0,0.03491806611418724,0.03491811454296112,0,10
1,0.030022764578461647,0.030022818595170975,0,10
2,0.02639273926615715,0.026392797008156776,0,10
3,0.022024931386113167,0.022024985402822495,0,10
4,0.0182869341224432,0.01828698441386223,0,10
5,0.015315520577132702,0.01531557459384203,0,10
6,0.012241478078067303,0.012241535820066929,0,10
0,0.03491806611418724,0.03491811826825142,0,10
1,0.030022764578461647,0.030022814869880676,0,10
2,0.02639273926615715,0.026392793282866478,0,10
3,0.022024931386113167,0.022024990990757942,0,10
4,0.0182869341224432,0.01828698441386223,0,10
5,0.015315520577132702,0.015315568074584007,0,10
6,0.012241478078067303,0.012241533026099205,0,10
7,0.008782041259109974,0.008782098069787025,0,10
0,0.03491806611418724,0.03491811081767082,0,10
1,0.030022764578461647,0.030022766441106796,0,10
2,0.02639273926615715,0.02639278769493103,0,10
3,0.022024931386113167,0.022024989128112793,0,10
4,0.0182869341224432,0.018286986276507378,0,10
5,0.015315520577132702,0.015315570868551731,0,10
6,0.012241478078067303,0.01224152185022831,0,10
7,0.008782041259109974,0.00878209713846445,0,10
8,0.00794768426567316,0.007947683334350586,0,10
0,0.03491806611418724,0.034918125718832016,0,10
1,0.030022764578461647,0.030022816732525826,0,10
2,0.02639273926615715,0.02639278955757618,0,10
3,0.022024931386113167,0.022024989128112793,0,10
4,0.0182869341224432,0.018286991864442825,0,10
5,0.015315520577132702,0.015315581113100052,0,10
