Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,regret,iteration
0.19308008,-0.50627667,-0.06794058,0.37554732,-0.0163266,0.00010815839,-0.00024898868,-0.00017261977,-1.6695012e-06,-3.0321146e-08,0.000119730845,0.71871597,0.0
0.26326874,-0.46270362,-0.12579423,0.31205422,0.012327084,-0.002548385,0.0027713391,-0.00037802866,1.9651852e-05,2.4868594e-05,8.5039625e-05,0.645126,1.0
0.3594922,-0.40156195,-0.20693322,0.22237408,0.052255787,-0.005961493,0.006905413,-0.00066459225,0.00011145755,7.6289216e-05,6.975649e-05,0.59176457,2.0
0.4158303,-0.31545725,-0.3190989,0.096568614,0.10751513,-0.010883458,0.01287186,-0.0007651,0.00013850431,7.6289216e-05,6.975648e-05,0.677038,3.0
0.32350522,-0.21515284,-0.45024914,-0.04968019,0.17233378,-0.016039707,0.0204007,-0.0009851397,0.00015278434,7.725091e-05,6.975648e-05,0.79749817,4.0
0.19235958,-0.14131725,-0.55468357,-0.16092974,0.2209571,-0.020217605,0.0204007,-0.0009851392,0.00015278424,7.72509e-05,6.975652e-05,0.8636433,5.0
0.14407654,-0.100247845,-0.61374515,-0.2254667,0.24697217,-0.022638269,0.023070052,-0.0016544283,0.00015278427,7.725081e-05,6.975646e-05,0.9021787,6.0
0.09611718,-0.06945577,-0.655291,-0.27112776,0.2677412,-0.024242107,0.024599152,-0.0014717776,0.0001527843,7.725081e-05,6.975646e-05,0.92122805,7.0
0.07794838,-0.049488753,-0.6811202,-0.29836076,0.27969205,-0.025534572,0.025751859,-0.0014996362,0.00015419915,7.588312e-05,6.987078e-05,0.9339757,8.0
0.059115134,-0.03514561,-0.70047027,-0.31979412,0.28916803,-0.026422072,0.026770674,-0.0015133604,9.436617e-05,3.3668886e-05,5.6374945e-05,0.9417114,9.0
0.064887434,-0.025223482,-0.71361184,-0.33417085,0.29518503,-0.026964089,0.02719932,-0.0015932412,6.8790105e-05,2.2011485e-05,6.765861e-05,0.94966525,10.0
0.043229364,-0.013922378,-0.72863907,-0.3507325,0.30214053,-0.028108701,0.02791351,-0.0014551504,6.87901e-05,2.2011496e-05,6.765859e-05,0.9534251,11.0
0.040355805,-0.007969595,-0.7365221,-0.35908306,0.3057908,-0.028425721,0.02822156,-0.001437929,7.982386e-05,2.7572023e-05,5.2681957e-05,0.9565671,12.0
0.034121934,-0.002676065,-0.74313384,-0.36656314,0.30904114,-0.029057322,0.028211929,-0.0016082416,3.146608e-05,3.5832087e-05,-1.8558836e-05,0.9585825,13.0
0.037993286,-0.0003192213,-0.7480104,-0.3722148,0.31131786,-0.029057322,0.028211929,-0.0016082416,3.146608e-05,3.5832087e-05,-1.8558836e-05,0.9612605,14.0
0.040679585,0.0047559785,-0.7535986,-0.3787246,0.3142783,-0.02927771,0.028427508,-0.0016423884,1.775983e-05,3.4189787e-05,-1.4447858e-05,0.9639136,15.0
0.04602178,0.0099059995,-0.76087296,-0.3860774,0.31734252,-0.029679652,0.028749818,-0.0016423884,1.775983e-05,3.4189787e-05,-1.4447858e-05,0.9672477,16.0
0.036181618,0.016423663,-0.76958895,-0.39563933,0.32148296,-0.029802635,0.029052414,-0.0016423884,1.7759829e-05,3.4189787e-05,-1.4447852e-05,0.96908903,17.0
0.025804132,0.019798163,-0.77539563,-0.40185645,0.32339638,-0.029802635,0.029052414,-0.0016423884,1.7759829e-05,3.4189787e-05,-1.4447852e-05,0.96972823,18.0
0.02601226,0.021402724,-0.7777098,-0.4035964,0.32358947,-0.02986156,0.029049447,-0.0016264884,1.7931025e-05,3.4811463e-05,-1.7868246e-05,0.9704505,19.0
0.03211041,0.023060977,-0.7798097,-0.4056326,0.32430282,-0.029832615,0.029063296,-0.0016264884,1.7931025e-05,3.4811463e-05,-1.7868246e-05,0.9716823,20.0
0.026704416,0.02490109,-0.78402925,-0.4106661,0.32576323,-0.029922875,0.029225858,-0.0013713597,1.793101e-05,3.4811474e-05,-1.7868286e-05,0.97248733,21.0
0.017866816,0.026475873,-0.78695047,-0.41146186,0.32693383,-0.030013038,0.029220473,-0.0013761147,8.379551e-06,2.5623915e-05,-2.08194e-05,0.97267944,22.0
0.022077395,0.026962088,-0.78775126,-0.41232044,0.32719928,-0.030030603,0.02923515,-0.001376004,7.673871e-06,2.43751e-05,-2.0206438e-05,0.97289544,23.0
0.030118942,0.027354665,-0.78843725,-0.41310853,0.327206,-0.030005278,0.029371511,-0.0013038462,8.37604e-05,5.097884e-05,-5.9284182e-05,0.97388685,24.0
0.030421996,0.029681541,-0.7912563,-0.41764382,0.327206,-0.030005278,0.029371511,-0.0013038462,8.37604e-05,5.097884e-05,-5.9284182e-05,0.9748218,25.0
0.03380751,0.032285348,-0.7946971,-0.42173523,0.32801047,-0.030065246,0.029436693,-0.0013133528,8.0298174e-05,4.1977648e-05,-4.1305524e-05,0.9760784,26.0
0.023483155,0.033440605,-0.79921407,-0.42817825,0.3285229,-0.030065246,0.029436693,-0.0013133528,8.0298174e-05,4.1977648e-05,-4.1305524e-05,0.97633815,27.0
0.021671353,0.034287676,-0.8006115,-0.42927158,0.32857797,-0.03005814,0.029433629,-0.0013133528,8.0298174e-05,4.1977648e-05,-4.1305524e-05,0.9764846,28.0
0.026549915,0.034965042,-0.8008864,-0.42971453,0.32869625,-0.030147232,0.02951636,-0.0013133528,8.0298174e-05,4.1977648e-05,-4.1305524e-05,0.9770722,29.0
0.028958786,0.036562867,-0.8033284,-0.43206328,0.32886642,-0.030147232,0.02951636,-0.0013133528,8.0298174e-05,4.1977648e-05,-4.1305524e-05,0.9777859,30.0
0.015935078,0.040251024,-0.8059615,-0.4341144,0.3298155,-0.030297307,0.029101407,-0.0005128362,-2.8739989e-05,-8.969946e-07,0.00014418637,0.9779919,31.0
0.028750632,0.041492324,-0.80727965,-0.4354814,0.33066192,-0.030297307,0.029101407,-0.0005128362,-2.8739989e-05,-8.969946e-07,0.00014418637,0.97874445,32.0
0.016600503,0.044678584,-0.80894315,-0.4386944,0.33203566,-0.030702488,0.029068924,-0.0005173198,-2.9941071e-05,-1.21171e-06,0.00014410529,0.9788133,33.0
0.020389386,0.04559429,-0.81023324,-0.43946272,0.33228752,-0.030702488,0.029068924,-0.0005173198,-2.9941071e-05,-1.21171e-06,0.00014410529,0.9788462,34.0
0.02391075,0.045701865,-0.8102935,-0.43956473,0.33233917,-0.030707588,0.029068086,-0.00051728624,-3.1088017e-05,-1.1537122e-06,0.00014389439,0.9790136,35.0
0.018729977,0.045976613,-0.8115375,-0.44125023,0.33300608,-0.030707588,0.029068086,-0.0005172862,-3.1088017e-05,-1.1537122e-06,0.00014389439,0.97930014,36.0
0.02282559,0.046368066,-0.812016,-0.4417525,0.3330089,-0.03070902,0.029068086,-0.0005172862,-3.1088017e-05,-1.1537122e-06,0.00014389439,0.9794791,37.0
0.028552882,0.047110457,-0.81277597,-0.44266137,0.33341095,-0.03070902,0.029068086,-0.0005172862,-3.1088017e-05,-1.1537122e-06,0.00014389439,0.9801993,38.0
0.02832268,0.04820433,-0.8159881,-0.44501823,0.33394313,-0.030936435,0.02928724,-0.00052665186,-2.9877649e-05,4.365427e-06,0.00014977813,0.9807702,39.0
0.02072897,0.050063003,-0.8183186,-0.4472304,0.33426932,-0.030936435,0.02928724,-0.00052665186,-2.9877649e-05,4.365427e-06,0.00014977813,0.9807717,40.0
0.017072942,0.050157577,-0.8186128,-0.44742572,0.33427274,-0.030935844,0.029286185,-0.0005269074,-2.8242132e-05,-3.851528e-08,0.0001445841,0.9809027,41.0
0.015253109,0.05109389,-0.81954235,-0.44854194,0.33459845,-0.031003531,0.029286176,-0.0005269536,-2.82383e-05,-2.4751532e-08,0.00014458405,0.9812457,42.0
0.016698841,0.05193897,-0.82182175,-0.44996518,0.33467266,-0.031006891,0.029286362,-0.0005269987,-2.8206354e-05,8.566197e-09,0.00014458405,0.9815446,43.0
0.021927698,0.053399164,-0.8225105,-0.4509733,0.33520865,-0.031006891,0.029286362,-0.00052699866,-2.8206285e-05,8.575643e-09,0.00014458402,0.98157406,44.0
0.012535699,0.053854253,-0.82332253,-0.45144802,0.3352265,-0.03100615,0.029279279,-0.00052692305,-2.8212608e-05,7.707951e-09,0.00014458649,0.9821315,45.0
0.02532536,0.056419954,-0.82586485,-0.45387596,0.33585802,-0.031005764,0.029314991,-0.00052692305,-2.8212608e-05,7.707951e-09,0.00014458649,0.98244643,46.0
0.013462141,0.057698645,-0.8276677,-0.45567092,0.33670512,-0.031137541,0.029388973,-0.00052438787,-2.6875075e-05,-3.2449665e-07,0.0001439263,0.98290485,47.0
0.013967958,0.05957114,-0.82957035,-0.45814687,0.3379846,-0.031137541,0.029388973,-0.00052438787,-2.6875075e-05,-3.2449665e-07,0.0001439263,0.9833527,48.0
0.025295053,0.060111728,-0.8314336,-0.46113792,0.3379846,-0.031137541,0.029388973,-0.00052438787,-2.6875075e-05,-3.2449665e-07,0.0001439263,0.9836677,49.0
0.008040124,0.062331077,-0.832161,-0.46283042,0.33887908,-0.031081537,0.02937259,-0.00052438787,-2.6875075e-05,-3.2449682e-07,0.0001439263,0.98439246,50.0
0.011808616,0.063741274,-0.83733803,-0.4670489,0.34047464,-0.030915149,0.029320424,-0.0005240617,-2.9663872e-05,-2.6467765e-07,0.00014430143,0.98499656,51.0
0.014297827,0.06684697,-0.83961254,-0.4696583,0.34173012,-0.031084152,0.02939006,-0.00054550375,-2.5645708e-05,8.285138e-06,0.00016085512,0.9852642,52.0
0.01368672,0.06723948,-0.8420084,-0.47176325,0.34275404,-0.031162422,0.02939006,-0.00054550375,-2.5645708e-05,8.285145e-06,0.00016085512,0.9856991,53.0
0.0054140985,0.06991221,-0.8429586,-0.47398368,0.34371027,-0.031090664,0.029308522,-0.00054550375,-2.5645708e-05,8.285145e-06,0.00016085512,0.9864875,54.0
0.0043514324,0.07345915,-0.8469557,-0.4805188,0.3449899,-0.031090664,0.029308522,-0.00054550375,-2.5645708e-05,8.285145e-06,0.00016085512,0.9872676,55.0
0.01954668,0.07536401,-0.85455275,-0.48523265,0.34548983,-0.03117672,0.029310973,-0.000646842,-6.007609e-05,2.5612248e-05,0.00020291128,0.9872642,56.0
0.017172845,0.07548547,-0.85481143,-0.48536012,0.34556457,-0.03117672,0.029310973,-0.000646842,-6.0076087e-05,2.5612248e-05,0.00020291128,0.9875397,57.0
0.015692733,0.0759835,-0.8561618,-0.48623332,0.34577253,-0.03130176,0.029336886,-0.00069824536,-5.9739054e-05,2.3580935e-05,0.00020701888,0.9877895,58.0
0.013875898,0.0769488,-0.8573914,-0.4881099,0.34604764,-0.0314424,0.028626312,-0.0006982455,-5.97391e-05,2.3580911e-05,0.00020701885,0.9880938,59.0
0.0027624238,0.080130436,-0.85809326,-0.48968446,0.34604764,-0.0314424,0.028626312,-0.0006982455,-5.97391e-05,2.3580911e-05,0.00020701885,0.98883295,60.0
0.017114151,0.08598317,-0.8638461,-0.49511075,0.34819597,-0.031473212,0.028672148,-0.0006982455,-5.97391e-05,2.3580911e-05,0.00020701885,0.98888624,61.0
0.017339248,0.086881846,-0.8649847,-0.49600464,0.34819597,-0.031473212,0.028672148,-0.0006982455,-5.97391e-05,2.3580911e-05,0.00020701885,0.98901296,62.0
0.009889765,0.08779379,-0.8658041,-0.49687362,0.34848085,-0.031477936,0.02869129,-0.000697812,-5.8475576e-05,2.3983343e-05,0.00020700421,0.9894884,63.0
0.0029482078,0.08985982,-0.8702596,-0.5001521,0.3486705,-0.031490177,0.028692514,-0.00069854327,-5.8680886e-05,2.39796e-05,0.00020701556,0.9902787,64.0
0.010940717,0.09514193,-0.87708914,-0.50463915,0.3486705,-0.031490177,0.028692514,-0.00069854327,-5.868089e-05,2.39796e-05,0.00020701556,0.9905743,65.0
0.01548907,0.09797677,-0.8807896,-0.5069174,0.3498217,-0.031624366,0.028472831,-0.00058128097,0.00011856822,1.4366455e-05,0.0001808989,0.99078465,66.0
0.007470673,0.09941321,-0.8826577,-0.50819546,0.3498217,-0.031624366,0.028472831,-0.00058128097,0.00011856822,1.4366455e-05,0.0001808989,0.9912806,67.0
0.01660508,0.10244914,-0.88806844,-0.51128554,0.3514399,-0.032901596,0.029746734,-0.0005812812,0.00011856825,1.4366444e-05,0.00018089892,0.99141943,68.0
0.014279254,0.1038001,-0.88904244,-0.5123024,0.352005,-0.032931868,0.0297405,-0.0006000395,0.000114737355,-3.0447845e-06,0.00018355029,0.9916364,69.0
0.010248908,0.10444721,-0.89169574,-0.51409996,0.35287824,-0.032931868,0.0297405,-0.0006000395,0.00011473735,-3.0447852e-06,0.00018355029,0.99203664,70.0
