iteration,x,y,pred_opt
0,"[0.6146950721740723, 0.38101285696029663]",0.8342230916023254,0.8347338438034058
1,"[0.5308319330215454, 0.5362297892570496]",0.9572660326957703,0.9524268507957458
2,"[0.8091453909873962, 0.272402286529541]",0.6173043847084045,0.9218137264251709
3,"[0.42464518547058105, 0.29409393668174744]",0.7708649635314941,0.8568955659866333
4,"[0.25611060857772827, 0.5807960033416748]",0.7379565834999084,0.8329971432685852
5,"[0.8766072392463684, 0.5542621612548828]",0.6237603425979614,0.9209796190261841
6,"[0.5235058069229126, 0.772828221321106]",0.7322542667388916,0.9791339635848999
7,"[0.43255317211151123, 0.14423902332782745]",0.6405218243598938,0.9808558225631714
8,"[0.1332429051399231, 0.6802573204040527]",0.5882839560508728,0.9775850772857666
9,"[0.44959205389022827, 0.9086711406707764]",0.5934425592422485,0.9780593514442444
10,"[0.6503632664680481, 0.8741767406463623]",0.5898314118385315,0.9884387254714966
11,"[0.3035973906517029, 0.1372028887271881]",0.5935953259468079,0.9831753969192505
12,"[0.12154639512300491, 0.49847304821014404]",0.6226277351379395,0.9672784805297852
13,"[0.9343436360359192, 0.5816891193389893]",0.5524945855140686,0.9774509072303772
14,"[0.7379730343818665, 0.16047361493110657]",0.5849016308784485,0.9810011386871338
15,"[0.7701843976974487, 0.792962372303009]",0.5952463150024414,0.9803112745285034
16,"[0.06843151152133942, 0.4829208254814148]",0.5688174962997437,0.9777387380599976
17,"[0.43362030386924744, 0.944260835647583]",0.5472914576530457,0.9893888235092163
18,"[0.28143376111984253, 0.10448575764894485]",0.5395749807357788,0.97978675365448
19,"[0.8661447167396545, 0.25564128160476685]",0.5551232099533081,0.9761098027229309
20,"[0.4724850058555603, 0.07581779360771179]",0.5844178795814514,0.9892624616622925
21,"[0.1037294864654541, 0.6985768675804138]",0.5489188432693481,0.9753824472427368
22,"[0.7906158566474915, 0.8190033435821533]",0.5744360685348511,0.9749420881271362
23,"[0.4719701409339905, 0.04975515604019165]",0.5479708313941956,0.990382969379425
24,"[0.05323505401611328, 0.4845941364765167]",0.552155613899231,0.9877025485038757
25,"[0.7555156946182251, 0.13518375158309937]",0.5526776909828186,0.9848430156707764
26,"[0.9405636787414551, 0.5695022344589233]",0.563060462474823,0.9761478304862976
27,"[0.3273690938949585, 0.8385867476463318]",0.6141219735145569,0.9831130504608154
28,"[0.2368171513080597, 0.2627497613430023]",0.641568660736084,0.9889326095581055
29,"[0.6994428634643555, 0.6154075860977173]",0.7683390378952026,0.9875556826591492
30,"[0.2002914845943451, 0.19984170794487]",0.5791184306144714,0.9850457310676575
