iteration,x,y,pred_opt
0,"[0.19588041305541992, -0.1330655813217163, -0.20889782905578613, 0.05790567398071289, 0.346316933631897, -0.07458364963531494, 0.050393104553222656, 0.10101282596588135, -0.20523905754089355, 0.09444010257720947]",0.3107587397098541,0.3105529546737671
1,"[0.22172561287879944, -0.09841638803482056, -0.23093818128108978, 0.06096866354346275, 0.24656078219413757, -0.11860574781894684, 0.17429596185684204, 0.09970264136791229, -0.23760488629341125, 0.0483810193836689]",0.30795401334762573,0.31045761704444885
2,"[0.12261925637722015, -0.15990960597991943, -0.08706973493099213, 0.13892899453639984, 0.3495388329029083, -0.1295957863330841, 0.03787725418806076, 0.083133265376091, -0.1753235012292862, 0.07066591084003448]",0.3583514988422394,0.367086797952652
3,"[0.07605523616075516, -0.1589139997959137, -0.12822726368904114, 0.025188395753502846, 0.3269866108894348, -0.1866142302751541, 0.06424446403980255, 0.21303780376911163, -0.15415902435779572, 0.12973010540008545]",0.32593095302581787,0.3650607168674469
4,"[0.21530045568943024, -0.199641153216362, 0.0008764415979385376, 0.06089044362306595, 0.3810748755931854, -0.13835996389389038, 0.013565834611654282, -0.03783448785543442, -0.15579240024089813, 0.020815551280975342]",0.3322795331478119,0.3673050105571747
5,"[0.13616500794887543, -0.3071303963661194, -0.13959158957004547, 0.13997100293636322, 0.22635142505168915, -0.08844289928674698, 0.0033290423452854156, 0.10371194779872894, -0.19659176468849182, 0.06855656206607819]",0.3422963321208954,0.39558228850364685
6,"[0.20368163287639618, -0.07901790738105774, -0.017435334622859955, 0.197858989238739, 0.30571192502975464, -0.13091784715652466, 0.0007016099989414215, 0.12868301570415497, -0.05601318180561066, 0.03984568268060684]",0.4121134579181671,0.41633477807044983
7,"[0.05438600853085518, -0.11295120418071747, -0.08396675437688828, 0.26025599241256714, 0.3583093285560608, -0.1395069807767868, 0.005456171929836273, 0.04783850908279419, -0.2953352928161621, 0.11090242862701416]",0.2598642110824585,0.41866040229797363
8,"[0.13392919301986694, -0.08017346262931824, -0.09689608961343765, 0.10750721395015717, 0.26054421067237854, -0.14858952164649963, -0.09382358938455582, 0.05202784389257431, -0.002750195562839508, -0.09516473114490509]",0.538618266582489,0.5361244082450867
9,"[0.19272750616073608, -0.15803910791873932, -0.16897767782211304, 0.27406445145606995, 0.3707721531391144, -0.27174749970436096, 0.020702984184026718, 0.024482589215040207, 0.004890263080596924, -0.051807865500450134]",0.22059988975524902,0.6284147500991821
