iteration,x,y,pred_opt
0,"[0.6412646174430847, 0.4447345733642578]",0.8572552800178528,0.8483096361160278
1,"[0.48174113035202026, 0.4881199598312378]",0.972669780254364,0.9782164692878723
2,"[0.6528683304786682, 0.26252925395965576]",0.7171010971069336,0.9482203125953674
3,"[0.6790632009506226, 0.6922707557678223]",0.731037974357605,0.8651962876319885
4,"[0.9016703963279724, 0.5020201802253723]",0.599048376083374,0.8076492547988892
5,"[0.2246340960264206, 0.5971122980117798]",0.7044957280158997,0.9621871113777161
6,"[0.45343485474586487, 0.18000644445419312]",0.668099045753479,0.9962965846061707
7,"[0.6627053618431091, 0.8432233333587646]",0.6154840588569641,0.9946905374526978
8,"[0.13442616164684296, 0.47585025429725647]",0.6431208848953247,0.9976770281791687
9,"[0.2890112102031708, 0.8143798112869263]",0.6135432720184326,0.9917936325073242
10,"[0.7488476037979126, 0.16552340984344482]",0.5890761017799377,0.9904101490974426
11,"[0.365633487701416, 0.12266276776790619]",0.5985405445098877,0.9942639470100403
12,"[0.05179839953780174, 0.4641176462173462]",0.5495505332946777,0.992797315120697
13,"[0.2808195948600769, 0.8661708235740662]",0.5713189244270325,0.9934427738189697
14,"[0.7853557467460632, 0.80814528465271]",0.5890948176383972,0.9899221062660217
15,"[0.25878581404685974, 0.18063223361968994]",0.5939527153968811,0.9905656576156616
16,"[0.9346020817756653, 0.4961632490158081]",0.5612841248512268,0.9946102499961853
17,"[0.7659686207771301, 0.1408470720052719]",0.5518537163734436,0.9937692880630493
18,"[0.1158311516046524, 0.6710839867591858]",0.5827465653419495,0.995755136013031
19,"[0.8062595129013062, 0.8351127505302429]",0.5398737192153931,0.9900733232498169
20,"[0.6418079137802124, 0.8980855941772461]",0.5800241231918335,0.9963851571083069
21,"[0.23377922177314758, 0.15199005603790283]",0.5669560432434082,0.9953311085700989
22,"[0.4803065359592438, 0.09025706350803375]",0.5896094441413879,0.9902461767196655
23,"[0.0961117297410965, 0.6865878701210022]",0.5606083869934082,0.9995185732841492
24,"[0.2757910490036011, 0.8847916722297668]",0.5539025068283081,0.9933825135231018
25,"[0.9098533391952515, 0.37981241941452026]",0.5743005871772766,0.9973554015159607
26,"[0.3986574411392212, 0.6555644273757935]",0.8123931884765625,0.9939834475517273
27,"[0.48261603713035583, 0.06666594743728638]",0.5677047967910767,0.9955463409423828
28,"[0.6383772492408752, 0.9247028231620789]",0.5510817170143127,0.9920383095741272
29,"[0.38718855381011963, 0.3308272659778595]",0.7993223667144775,0.9918057918548584
30,"[0.05695562809705734, 0.4456983208656311]",0.559940755367279,0.9884330034255981
