anchor_idx,radius,max_dist,n_escaped,n_total
0,0.03491806611418724,0.03491811081767082,0,10
0,0.03491806611418724,0.03491811826825142,0,10
1,0.029672883450984955,0.029672930017113686,0,10
0,0.03491806611418724,0.03491809964179993,0,10
1,0.029672883450984955,0.029672933742403984,0,10
2,0.025762060657143593,0.025762079283595085,0,10
0,0.03491806611418724,0.03491811454296112,0,10
1,0.029672883450984955,0.029672924429178238,0,10
2,0.025762060657143593,0.025762083008885384,0,10
3,0.021185586228966713,0.021185627207159996,0,10
0,0.03491806611418724,0.034918107092380524,0,10
1,0.029672883450984955,0.029672931879758835,0,10
2,0.025762060657143593,0.02576211839914322,0,10
3,0.021185586228966713,0.02118564210832119,0,10
4,0.017345940694212914,0.017345981672406197,0,10
0,0.03491806611418724,0.034918125718832016,0,10
1,0.029672883450984955,0.029672933742403984,0,10
2,0.025762060657143593,0.02576211281120777,0,10
3,0.021185586228966713,0.02118563838303089,0,10
4,0.017345940694212914,0.017345979809761047,0,10
5,0.01432807557284832,0.014328127726912498,0,10
0,0.03491806611418724,0.034918125718832016,0,10
1,0.029672883450984955,0.029672939330339432,0,10
2,0.025762060657143593,0.02576211839914322,0,10
3,0.021185586228966713,0.02118561789393425,0,10
4,0.017345940694212914,0.017345981672406197,0,10
5,0.01432807557284832,0.014328115619719028,0,10
6,0.011255496181547642,0.011255525052547455,0,10
0,0.03491806611418724,0.03491812199354172,0,10
1,0.029672883450984955,0.029672928154468536,0,10
2,0.025762060657143593,0.025762110948562622,0,10
3,0.021185586228966713,0.021185625344514847,0,10
4,0.017345940694212914,0.01734594628214836,0,10
5,0.01432807557284832,0.014328096061944962,0,10
6,0.011255496181547642,0.011255540885031223,0,10
7,0.007850035093724728,0.007850085385143757,0,10
0,0.03491806611418724,0.03491812199354172,0,10
1,0.029672883450984955,0.029672935605049133,0,10
2,0.025762060657143593,0.02576211281120777,0,10
3,0.021185586228966713,0.02118563838303089,0,10
4,0.017345940694212914,0.017345981672406197,0,10
5,0.01432807557284832,0.014328129589557648,0,10
6,0.011255496181547642,0.011255553923547268,0,10
7,0.007850035093724728,0.00785007979720831,0,10
8,0.007112391293048859,0.007112389896064997,0,10
0,0.03491806611418724,0.03491809219121933,0,10
1,0.029672883450984955,0.02967291697859764,0,10
2,0.025762060657143593,0.02576211839914322,0,10
3,0.021185586228966713,0.02118561789393425,0,10
4,0.017345940694212914,0.017345987260341644,0,10
5,0.01432807557284832,0.014328126795589924,0,10
6,0.011255496181547642,0.011255551129579544,0,10
7,0.007850035093724728,0.007850084453821182,0,10
8,0.007112391293048859,0.007112434133887291,0,10
9,0.005794718861579895,0.005794666241854429,0,10
0,0.03491806611418724,0.03491808474063873,0,10
1,0.029672883450984955,0.02967294119298458,0,10
2,0.025762060657143593,0.02576211653649807,0,10
3,0.021185586228966713,0.02118564397096634,0,10
4,0.017345940694212914,0.01734600029885769,0,10
5,0.01432807557284832,0.014328130520880222,0,10
6,0.011255496181547642,0.011255539953708649,0,10
7,0.007850035093724728,0.00785009190440178,0,10
8,0.007112391293048859,0.007112429942935705,0,10
9,0.005794718861579895,0.005794740281999111,0,10
10,0.00443953787907958,0.00443950155749917,0,10
0,0.03491806611418724,0.03491811826825142,0,10
1,0.029672883450984955,0.02967292070388794,0,10
2,0.025762060657143593,0.025762110948562622,0,10
3,0.021185586228966713,0.021185634657740593,0,10
4,0.017345940694212914,0.01734599471092224,0,10
5,0.01432807557284832,0.01432812586426735,0,10
6,0.011255496181547642,0.01125555019825697,0,10
7,0.007850035093724728,0.007850078865885735,0,10
8,0.007112391293048859,0.007112425751984119,0,10
9,0.005794718861579895,0.00579476822167635,0,10
10,0.00443953787907958,0.004439549054950476,0,10
11,0.003559248521924019,0.003559285309165716,0,10
0,0.03491806611418724,0.034918107092380524,0,10
1,0.029672883450984955,0.02967291884124279,0,10
2,0.025762060657143593,0.02576209232211113,0,10
3,0.021185586228966713,0.02118564210832119,0,10
4,0.017345940694212914,0.01734599471092224,0,10
5,0.01432807557284832,0.014328123070299625,0,10
6,0.011255496181547642,0.011255537159740925,0,10
7,0.007850035093724728,0.007850080728530884,0,10
8,0.007112391293048859,0.0071124061942100525,0,10
9,0.005794718861579895,0.00579476822167635,0,10
10,0.00443953787907958,0.0044394973665475845,0,10
11,0.003559248521924019,0.0035592131316661835,0,10
12,0.0020932236220687628,0.0020931889303028584,0,10
0,0.03491806611418724,0.034918107092380524,0,10
1,0.029672883450984955,0.029672909528017044,0,10
2,0.025762060657143593,0.025762097910046577,0,10
3,0.021185586228966713,0.02118563838303089,0,10
4,0.017345940694212914,0.01734599843621254,0,10
5,0.01432807557284832,0.014328119345009327,0,10
6,0.011255496181547642,0.011255545541644096,0,10
7,0.007850035093724728,0.00785009190440178,0,10
8,0.007112391293048859,0.007112438790500164,0,10
9,0.005794718861579895,0.005794770084321499,0,10
10,0.00443953787907958,0.004439540673047304,0,10
11,0.003559248521924019,0.0035592925269156694,0,10
12,0.0020932236220687628,0.002093245042487979,0,10
13,0.0018058597343042493,0.001805838430300355,0,10
0,0.03491806611418724,0.034918125718832016,0,10
1,0.029672883450984955,0.029672939330339432,0,10
2,0.025762060657143593,0.02576209232211113,0,10
3,0.021185586228966713,0.02118564024567604,0,10
4,0.017345940694212914,0.017345977947115898,0,10
5,0.01432807557284832,0.014328123070299625,0,10
6,0.011255496181547642,0.011255546472966671,0,10
7,0.007850035093724728,0.007850086316466331,0,10
8,0.007112391293048859,0.007112444844096899,0,10
9,0.005794718861579895,0.005794680677354336,0,10
10,0.00443953787907958,0.004439564421772957,0,10
11,0.003559248521924019,0.0035592596977949142,0,10
12,0.0020932236220687628,0.0020932352636009455,0,10
13,0.0018058597343042493,0.0018059095600619912,0,10
14,0.000993622001260519,0.0009935656562447548,0,10
0,0.03491806611418724,0.03491811081767082,0,10
1,0.029672883450984955,0.02967294119298458,0,10
2,0.025762060657143593,0.02576211839914322,0,10
3,0.021185586228966713,0.02118564210832119,0,10
4,0.017345940694212914,0.017345990985631943,0,10
5,0.01432807557284832,0.014328131452202797,0,10
6,0.011255496181547642,0.011255540885031223,0,10
7,0.007850035093724728,0.007850068621337414,0,10
8,0.007112391293048859,0.007112413179129362,0,10
9,0.005794718861579895,0.005794726777821779,0,10
10,0.00443953787907958,0.004439493641257286,0,10
11,0.003559248521924019,0.0035592219792306423,0,10
12,0.0020932236220687628,0.0020932257175445557,0,10
13,0.0018058597343042493,0.0018058647401630878,0,10
14,0.000993622001260519,0.000993652269244194,0,10
15,0.0014648244250565767,0.0014648520154878497,0,10
0,0.03491806611418724,0.03491811081767082,0,10
1,0.029672883450984955,0.029672926291823387,0,10
2,0.025762060657143593,0.02576211839914322,0,10
