function,setting,L_base,n_runs,mean_ratio,std_ratio,pct_no_violation,mean_safety_violations,pct_no_opt,mean_final_pred_opt,mean_n_observations
braninmod_2D,new_L_factored,0.4456325778841921,5,0.9917449474334716,0.0055188912531899965,100.0,0.0,0.0,0.9917449474334716,31.0
braninmod_2D,new_L_raw,0.4456325778841921,5,0.99714035987854,0.0015964636507426937,100.0,0.0,0.0,0.99714035987854,31.0
braninmod_2D,old_L_factored,0.5,5,0.9895605921745301,0.008052023800158892,100.0,0.0,0.0,0.9895605921745301,31.0
braninmod_2D,old_L_raw,0.5,5,0.989017128944397,0.008318568951389544,100.0,0.0,0.0,0.989017128944397,31.0
camel_10D,new_L_factored,17.042300314218146,5,0.7892315322551304,0.25904425565513844,100.0,0.0,0.0,0.8141712486743927,31.0
camel_10D,new_L_raw,17.042300314218146,5,0.7945692391301273,0.212653039791287,100.0,0.0,0.0,0.8196776270866394,31.0
camel_10D,old_L_factored,15.0,5,0.8148999928780978,0.20891240186566296,100.0,0.0,0.0,0.8406508326530456,31.0
camel_10D,old_L_raw,15.0,5,0.8126562212085761,0.18720480353704533,100.0,0.0,0.0,0.8383361577987671,31.0
camel_2D,new_L_factored,17.042300314218146,5,0.8922667177946542,0.10044889336076825,100.0,0.0,0.0,0.9204623460769653,31.0
camel_2D,new_L_raw,17.042300314218146,5,0.9035603997318168,0.08798657373068705,100.0,0.0,0.0,0.9321129083633423,31.0
camel_2D,old_L_factored,20.0,5,0.8752164613280753,0.1098546270699146,100.0,0.0,0.0,0.9028733015060425,31.0
camel_2D,old_L_raw,20.0,5,0.8769983027784709,0.13153763527903164,100.0,0.0,0.0,0.9047114491462708,31.0
gaussian_10D,new_L_factored,1.7155277699214138,5,0.7761312127113342,0.07504841446264736,100.0,0.0,0.0,0.7761312127113342,31.0
gaussian_10D,new_L_raw,1.7155277699214138,5,0.654671585559845,0.07006728749625972,100.0,0.0,0.0,0.654671585559845,31.0
gaussian_10D,old_L_factored,8.0,5,0.37893579006195066,0.08230279265175768,100.0,0.0,0.0,0.37893579006195066,31.0
gaussian_10D,old_L_raw,8.0,5,0.4571301579475403,0.11801544777820792,100.0,0.0,0.0,0.4571301579475403,31.0
hartmann_6D,new_L_factored,8.94177025318627,5,0.7742971897125244,0.09305316906525456,100.0,0.0,0.0,0.7742971897125244,31.0
hartmann_6D,new_L_raw,8.94177025318627,5,0.7888540267944336,0.07855665404906365,100.0,0.0,0.0,0.7888540267944336,31.0
hartmann_6D,old_L_factored,10.0,5,0.75468989610672,0.08535145383010603,100.0,0.0,0.0,0.75468989610672,31.0
hartmann_6D,old_L_raw,10.0,5,0.8120217084884643,0.06682231395873031,100.0,0.0,0.0,0.8120217084884643,31.0
rosenbrock_2D,new_L_factored,13.763089123529726,5,0.9337538599967956,0.11220804248306361,100.0,0.0,0.0,0.9337538599967956,31.0
rosenbrock_2D,new_L_raw,13.763089123529726,5,0.9533860445022583,0.0841866072073573,100.0,0.0,0.0,0.9533860445022583,31.0
rosenbrock_2D,old_L_factored,5.0,5,0.9965393424034119,0.0025501093130121592,100.0,0.0,0.0,0.9965393424034119,31.0
rosenbrock_2D,old_L_raw,5.0,5,0.9929675340652466,0.0042345702615484565,100.0,0.0,0.0,0.9929675340652466,31.0
rosenbrock_4D,new_L_factored,3.2775618987289925,5,0.9441811203956604,0.048552711625235306,100.0,0.0,0.0,0.9441811203956604,31.0
rosenbrock_4D,new_L_raw,3.2775618987289925,5,0.9556401968002319,0.053048619684210735,100.0,0.0,0.0,0.9556401968002319,31.0
rosenbrock_4D,old_L_factored,3.0,5,0.9513542413711548,0.0451184900467395,100.0,0.0,0.0,0.9513542413711548,31.0
rosenbrock_4D,old_L_raw,3.0,5,0.9495421290397644,0.04307734112779622,100.0,0.0,0.0,0.9495421290397644,31.0
sphere_2D,new_L_factored,1.0,5,0.9840000748634339,0.007991554085727985,100.0,0.0,0.0,0.9840000748634339,31.0
sphere_2D,new_L_raw,1.0,5,0.9868032932281494,0.008656273411370341,0.0,4.4,0.0,0.9868032932281494,31.0
sphere_2D,old_L_factored,2.0,5,0.9843675971031189,0.011043064173702008,100.0,0.0,0.0,0.9843675971031189,31.0
sphere_2D,old_L_raw,2.0,5,0.9812666296958923,0.020663264877670954,100.0,0.0,0.0,0.9812666296958923,31.0
sphere_4D,new_L_factored,1.0,5,0.9233282446861267,0.019119752796309394,100.0,0.0,0.0,0.9233282446861267,31.0
sphere_4D,new_L_raw,1.0,5,0.8777757406234741,0.03041041200360601,100.0,0.0,0.0,0.8777757406234741,31.0
sphere_4D,old_L_factored,2.0,5,0.9027945160865783,0.030185846034312253,100.0,0.0,0.0,0.9027945160865783,31.0
sphere_4D,old_L_raw,2.0,5,0.9034304857254029,0.03064555640937323,100.0,0.0,0.0,0.9034304857254029,31.0
sphere_6D,new_L_factored,1.0,5,0.8522013425827026,0.04784260799065494,100.0,0.0,0.0,0.8522013425827026,31.0
sphere_6D,new_L_raw,1.0,5,0.8211448907852172,0.03862307368001224,100.0,0.0,0.0,0.8211448907852172,31.0
sphere_6D,old_L_factored,2.0,5,0.8526498317718506,0.04621192981138124,100.0,0.0,0.0,0.8526498317718506,31.0
sphere_6D,old_L_raw,2.0,5,0.8646034598350525,0.03650964590099547,100.0,0.0,0.0,0.8646034598350525,31.0
