Y,X1,X2,X3,X4,X5,X6,regret,iteration
0.9346237,-5.6499634,15.008667,-280.4593,-223.8121,-43.585632,-81.06958,0.06537628,0.0
0.5260666,594.23584,-326.14447,-407.69977,516.3356,91.136475,-346.62152,0.06537628,1.0
0.7268513,402.3167,553.38513,-112.453156,-276.3655,172.29199,16.149841,0.06537628,2.0
0.73836064,272.52197,409.20703,106.97162,360.198,-388.2185,-167.9068,0.06537628,3.0
0.6429457,-385.41876,-348.85217,15.919617,-101.417114,563.3363,-412.8958,0.06537628,4.0
0.53617865,256.9751,541.8563,255.91028,364.17755,-481.80234,-458.1549,0.06537628,5.0
0.7029064,-527.51385,-122.47424,-310.6339,-121.71408,468.26538,122.15332,0.06537628,6.0
0.5642311,-587.46564,73.3728,-525.4159,-287.37567,219.15546,-426.3993,0.06537628,7.0
0.23782311,545.14014,434.43665,-447.45563,-517.3566,592.599,-583.44446,0.06537628,8.0
0.4999895,-518.35297,-324.95306,114.44623,-552.0872,507.27832,355.7627,0.06537628,9.0
0.54633653,-575.09503,-306.97067,448.0415,-426.62628,269.66156,311.838,0.06537628,10.0
0.6792634,-160.52277,296.86298,260.62396,-486.78387,-256.7108,-453.16464,0.06537628,11.0
0.6262363,427.7981,581.8937,393.898,-260.9501,132.57013,205.69794,0.06537628,12.0
0.6883792,-406.72195,-166.56912,593.4231,-251.60474,-117.36902,218.96094,0.06537628,13.0
0.40019494,-391.63306,-410.0885,-343.61456,547.99023,-460.49216,584.7003,0.06537628,14.0
0.7968251,337.35797,22.006042,185.42834,399.46997,271.9132,-230.81604,0.06537628,15.0
0.738764,177.68561,-133.626,-143.03278,-461.5052,-220.89621,-479.2016,0.06537628,16.0
0.6743018,406.80426,132.31506,155.87244,92.14746,-540.2444,-439.47443,0.06537628,17.0
0.5655809,595.2948,340.87585,-318.54102,596.15845,-35.212463,86.02405,0.06537628,18.0
0.6959437,160.12616,6.5950317,-101.37219,-512.39453,-384.27478,-455.8423,0.06537628,19.0
0.68806046,-18.376038,152.63562,323.15814,588.5857,-179.08566,405.5334,0.06537628,20.0
0.7268923,-248.00977,-417.9292,90.42084,-490.79413,-317.01273,-14.258057,0.06537628,21.0
0.63382775,377.73157,-469.2381,440.36755,49.81482,390.94232,-275.5198,0.06537628,22.0
0.45481864,505.85254,-487.0399,170.80902,-590.48065,-552.18353,-8.524841,0.06537628,23.0
0.7104896,375.89642,22.193054,433.93713,-62.68988,93.77301,528.54504,0.06537628,24.0
0.6067991,499.11743,448.20325,333.56714,-214.32831,-20.735046,-490.32248,0.06537628,25.0
0.8344293,42.477173,-273.14508,-208.98978,216.40369,-408.76407,142.42328,0.06537628,26.0
0.7549123,-11.371338,-191.5834,478.94556,-136.6926,336.10138,-359.02484,0.06537628,27.0
0.5439251,454.49878,-476.9092,141.11322,444.16357,-368.25708,442.833,0.06537628,28.0
0.8814033,-170.33774,-116.357574,-366.38596,-19.41449,65.727295,267.46515,0.06537628,29.0
0.4639912,-367.6529,385.4917,589.474,596.15906,-391.24646,126.05029,0.06537628,30.0
0.68213457,415.59998,169.88959,-334.5257,307.99615,-427.59283,304.378,0.06537628,31.0
0.57746863,566.5459,-110.17285,311.35455,-521.6038,-444.40814,-99.58984,0.06537628,32.0
0.81099385,-297.98734,-248.98425,111.42395,-33.110107,-445.0663,-206.60706,0.06537628,33.0
