iteration,x,y,pred_opt
0,[0.7576315999031067],0.29909446835517883,0.301033079624176
1,0.7707108855247498,0.2932247221469879,0.30078357458114624
2,0.7415032386779785,0.3031750023365021,0.29995593428611755
3,0.7845368981361389,0.28581950068473816,0.3001810610294342
4,0.730522096157074,0.2931673228740692,0.29960495233535767
5,0.7946733236312866,0.25079286098480225,0.3000692129135132
6,0.718001663684845,0.2678678035736084,0.30014175176620483
7,0.805942177772522,0.23647423088550568,0.3000330924987793
8,0.7106854319572449,0.2586519420146942,0.30007073283195496
9,0.8150820136070251,0.20553284883499146,0.300119012594223
10,0.7011032700538635,0.2389621138572693,0.3001897633075714
