Y,X1,X2,regret,iteration
0.20980471,-0.5364101,1.8100901,0.80145955,0.0
0.19372994,-0.53074294,1.8234593,0.8185519,1.0
0.18530597,-0.5255946,1.8357793,0.8360877,2.0
0.1690293,-0.52061826,1.8475075,0.85219234,3.0
0.15152656,-0.5161538,1.8581678,0.86666584,4.0
0.12467709,-0.51214623,1.8676403,0.87838817,5.0
0.12989207,-0.50886685,1.8753021,0.89083517,6.0
0.1151148,-0.5054491,1.8833169,0.90174335,7.0
0.09558676,-0.5024738,1.8903528,0.9106372,8.0
0.08603642,-0.5000343,1.8960744,0.9185961,9.0
0.08132156,-0.49789348,1.9011688,0.9260369,10.0
0.07947459,-0.49587098,1.9059412,0.93335164,11.0
0.06668389,-0.49392346,1.9105996,0.9392978,12.0
0.054099325,-0.49229532,1.9143836,0.9439598,13.0
0.04613529,-0.49106035,1.917341,0.9477785,14.0
0.05126576,-0.49004126,1.9197613,0.95213664,15.0
0.040622704,-0.48884478,1.9225112,0.9553971,16.0
0.035954207,-0.4879756,1.92456,0.95815927,17.0
0.041579746,-0.487272,1.9263101,0.9614849,18.0
0.030846948,-0.48637933,1.9284244,0.9637029,19.0
0.03376122,-0.48579365,1.9298216,0.96622884,20.0
0.029850744,-0.48514515,1.931422,0.96833056,21.0
0.035012737,-0.4845967,1.9327563,0.97099245,22.0
0.03738776,-0.48388898,1.9344307,0.9739216,23.0
0.016156271,-0.48313275,1.9362719,0.9745565,24.0
0.021036617,-0.48292264,1.936667,0.9757626,25.0
0.025568599,-0.48263794,1.9374168,0.97740436,26.0
0.013742709,-0.48217452,1.938449,0.9778236,27.0
0.02517538,-0.4820615,1.9386964,0.9794532,28.0
0.024831133,-0.48164132,1.9397161,0.9810303,29.0
0.012460726,-0.4812207,1.9407085,0.9812442,30.0
0.027758235,-0.4811077,1.9408472,0.9832034,31.0
0.01329256,-0.48056722,1.9420191,0.98358023,32.0
0.019407628,-0.48055032,1.9422578,0.9845272,33.0
0.011790339,-0.48027033,1.9428815,0.98473513,34.0
0.022763837,-0.4802294,1.943005,0.9860928,35.0
0.014882397,-0.47992992,1.943883,0.98648965,36.0
0.023324758,-0.479794,1.9442106,0.98799205,37.0
0.015185703,-0.47937235,1.9450824,0.98851,38.0
0.010690529,-0.47915184,1.9453881,0.9886892,39.0
0.0047798506,-0.47912702,1.9454317,0.98925304,40.0
0.0038175583,-0.4789476,1.945766,0.98993194,41.0
0.006124242,-0.4788137,1.9461949,0.9903426,42.0
0.014466814,-0.47878522,1.9464751,0.9907126,43.0
0.0051334845,-0.47858518,1.9467309,0.9912361,44.0
0.015885709,-0.47843233,1.9470497,0.99192107,45.0
0.004444686,-0.4782896,1.947453,0.9925066,46.0
0.007972304,-0.4781336,1.9478254,0.992725,47.0
0.010964766,-0.47806847,1.9479576,0.9928426,48.0
0.0030237017,-0.47804248,1.9480227,0.99358976,49.0
-0.00015517231,-0.4778922,1.948507,0.99461365,50.0
0.008466768,-0.4776324,1.9491978,0.9947989,51.0
0.0059580207,-0.4775845,1.9492984,0.9952415,52.0
0.0060513956,-0.47739753,1.9495249,0.99565125,53.0
0.013434481,-0.47729447,1.9497927,0.9960658,54.0
-0.0055741314,-0.4772056,1.950026,0.99772835,55.0
0.009859381,-0.47671413,1.9510456,0.9977655,56.0
0.00057483267,-0.47671306,1.9510558,0.9987747,57.0
0.0055881254,-0.47642267,1.9516761,0.9992565,58.0
0.009021473,-0.47631717,1.9519789,0.9993636,59.0
0.003141182,-0.476289,1.9520442,1.0001166,60.0
0.004193187,-0.4761435,1.952521,1.0005641,61.0
-0.004473752,-0.47592637,1.9528828,1.0022744,62.0
0.0031899759,-0.4757021,1.9539105,1.0028814,63.0
0.0053249607,-0.4755815,1.9543892,1.00334,64.0
-0.010179595,-0.47541267,1.954684,1.0055354,65.0
-0.012958538,-0.47525597,1.9561422,1.007679,66.0
-0.0035663364,-0.47454464,1.9576515,1.0091693,67.0
-0.003601286,-0.47388494,1.9583842,1.010797,68.0
-0.012342969,-0.47365072,1.9593163,1.0130326,69.0
-0.016651357,-0.47302052,1.9608127,1.0159061,70.0
-0.008335059,-0.4723532,1.962631,1.0178522,71.0
-0.023335677,-0.47179246,1.9638398,1.0214946,72.0
-0.02493454,-0.47069183,1.9659979,1.025371,73.0
-0.02753685,-0.46916026,1.9680228,1.0296998,74.0
-0.037985414,-0.46799433,1.9704891,1.0349797,75.0
-0.043176547,-0.46655878,1.9736673,1.0408024,76.0
-0.037450925,-0.46494153,1.9771771,1.0460452,77.0
-0.053575903,-0.4631581,1.9801286,1.0532495,78.0
-0.05592258,-0.46131957,1.9843675,1.0605153,79.0
-0.058913186,-0.45956558,1.9888258,1.0680382,80.0
-0.07003053,-0.45898518,1.9938003,1.0756963,81.0
-0.070224464,-0.45648852,1.9990534,1.0849051,82.0
-0.08715372,-0.45343617,2.0040207,1.0959951,83.0
-0.09131203,-0.4520012,2.0109339,1.1062101,84.0
-0.107413016,-0.44907463,2.01769,1.1195015,85.0
-0.11731728,-0.44813517,2.026171,1.1314305,86.0
-0.13645287,-0.445071,2.0349016,1.1485199,87.0
-0.157107,-0.44053155,2.0445285,1.1674609,88.0
-0.16673964,-0.43556282,2.05561,1.1866621,89.0
-0.18185881,-0.43030542,2.0673292,1.2088957,90.0
-0.21607228,-0.42544127,2.0803964,1.2352104,91.0
-0.2293793,-0.4191282,2.0955648,1.2637875,92.0
-0.25513995,-0.41276094,2.1117544,1.2946787,93.0
-0.28473678,-0.4011048,2.1250014,1.3277509,94.0
-0.3200315,-0.3865492,2.1407158,1.3676081,95.0
-0.36038062,-0.37016636,2.1582336,1.3919693,96.0
-0.36019206,-0.37082678,2.1588287,1.410061,97.0
-0.36024874,-0.3712229,2.1591651,1.3893921,98.0
-0.39101088,-0.35900226,2.1607716,1.4221959,99.0
-0.36382225,-0.3732324,2.160664,1.4236389,100.0
