Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,regret,iteration
0.1918988,0.27938864,0.22518098,0.2506105,-0.05218123,-0.094309434,0.27210158,-0.28451842,-0.08004013,-0.17609501,0.08149461,0.84890854,0.0
0.15638961,0.2832935,0.20849293,0.30822524,-0.03923945,-0.076559246,0.2593993,-0.35294876,-0.062672675,-0.21800327,0.09468949,0.8920058,1.0
0.11310972,0.28788248,0.19259512,0.35333893,-0.02801626,-0.06174426,0.2507794,-0.4081541,-0.048118226,-0.25165284,0.10533425,0.9149255,2.0
0.08318354,0.29034242,0.18207075,0.3843369,-0.020272808,-0.05108902,0.2433894,-0.4478982,-0.038121887,-0.27507895,0.11258957,0.93062997,3.0
0.07151094,0.29328388,0.17575803,0.40721,-0.01483878,-0.043416668,0.23935647,-0.47620052,-0.031250436,-0.29106373,0.117624246,0.94234526,4.0
0.06222516,0.2949387,0.1694684,0.42578378,-0.010745799,-0.036332358,0.23527272,-0.49975145,-0.024874566,-0.3047054,0.122365996,0.95032847,5.0
0.058810726,0.295368,0.16446364,0.44163486,-0.007031552,-0.03193611,0.23165081,-0.5197798,-0.020064408,-0.31718257,0.12633212,0.95749223,6.0
0.041484658,0.29634422,0.15958932,0.45694628,-0.0034749964,-0.027388167,0.2285894,-0.5382478,-0.014822532,-0.32820773,0.12950659,0.96160054,7.0
0.04204645,0.29690582,0.15666354,0.46653768,-0.000985024,-0.024242599,0.22654456,-0.55023754,-0.011821652,-0.3355347,0.13182189,0.9655183,8.0
0.03369169,0.29781362,0.15396307,0.47636542,0.0014153088,-0.021137763,0.2243583,-0.56253666,-0.008606944,-0.34282172,0.13414359,0.9682174,9.0
0.029461067,0.29849908,0.15190911,0.48362026,0.0029429176,-0.01849299,0.22294596,-0.57167315,-0.0061478205,-0.3480185,0.13586324,0.9703206,10.0
0.03715861,0.29884952,0.14979994,0.48951098,0.004447949,-0.01655493,0.22175398,-0.5791412,-0.0043354128,-0.35241944,0.13711569,0.9729884,11.0
0.02356528,0.29961875,0.14711419,0.4976783,0.0064771217,-0.013647573,0.22006866,-0.58973825,-0.0015507955,-0.35854447,0.13711569,0.9742738,12.0
0.020521602,0.29991838,0.14578277,0.50183237,0.0073413136,-0.012302065,0.2192137,-0.59489346,-0.00032010325,-0.36168382,0.13808273,0.97522753,13.0
0.019364357,0.30035716,0.1448602,0.5049425,0.0081311315,-0.011274552,0.21857075,-0.5989296,0.0008883008,-0.36404154,0.1388531,0.97606504,14.0
0.024958309,0.30058482,0.14420174,0.5078981,0.008715293,-0.010392617,0.21795596,-0.6025071,0.0017782971,-0.36613134,0.13943225,0.9773672,15.0
0.015485473,0.30127373,0.14287163,0.51259494,0.0095765535,-0.00900501,0.2168765,-0.6081375,0.003255346,-0.36951947,0.14049311,0.97781837,16.0
0.028005041,0.30138993,0.14230554,0.5143177,0.009926604,-0.008500825,0.21655619,-0.61012065,0.0038108146,-0.37081024,0.14083244,0.97928274,17.0
0.0260836,0.30180728,0.14065807,0.5201661,0.011374491,-0.0063818926,0.21549635,-0.61664224,0.005439041,-0.37491947,0.14205578,0.9804939,18.0
0.013189057,0.3021432,0.13937835,0.52511466,0.012421962,-0.0045864526,0.21443331,-0.6227174,0.0069731926,-0.37866887,0.1432165,0.9807262,19.0
0.010272737,0.30205977,0.13902172,0.52600807,0.012683028,-0.0042812508,0.2142216,-0.6239004,0.007286517,-0.3794051,0.1434339,0.9807292,20.0
0.02128584,0.30207545,0.13899888,0.5260781,0.012686221,-0.0042577167,0.21421489,-0.6239439,0.0072975294,-0.37943485,0.14343713,0.98153436,21.0
