x_next,nearest_anchor,dist_to_nearest_anchor,nearest_anchor_radius,escaped_nearest_ball
"[0.40822097659111023, 0.4764266610145569]",0,0.06945763528347015,0.06945762783288956,False
"[0.3492142856121063, 0.46453943848609924]",1,0.060192156583070755,0.0697111189365387,False
"[0.4006541073322296, 0.41361725330352783]",1,0.06326357275247574,0.0697111189365387,False
"[0.40245553851127625, 0.4127822816371918]",3,0.0019855306018143892,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3504769802093506, 0.46228358149528503]",2,0.002585205715149641,0.06841433793306351,False
"[0.3768231272697449, 0.42998558282852173]",3,0.028910858556628227,0.06966547667980194,False
"[0.3996107578277588, 0.414164274930954]",3,0.0011780537897720933,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3477843999862671, 0.4670489728450775]",2,0.002888310234993696,0.06841433793306351,False
"[0.39634591341018677, 0.4160291254520416]",8,0.003759903833270073,0.07099053263664246,False
"[0.34496715664863586, 0.47294843196868896]",13,0.006537620443850756,0.06858985871076584,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3872484564781189, 0.42190393805503845]",14,0.010829457081854343,0.06976349651813507,False
"[0.34370893239974976, 0.4757797420024872]",15,0.0030982971657067537,0.06928721070289612,False
"[0.39583709836006165, 0.4162583649158478]",14,0.0005580712459050119,0.06976349651813507,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.33687055110931396, 0.49732813239097595]",18,0.02260744571685791,0.06834635138511658,False
"[0.3547348976135254, 0.45525702834129333]",6,0.008215978741645813,0.06935551017522812,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.37142232060432434, 0.43507468700408936]",7,0.007420761045068502,0.06941570341587067,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.36157798767089844, 0.44577687978744507]",22,0.011691924184560776,0.06925015151500702,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3448260426521301, 0.47336092591285706]",15,0.00043596376781351864,0.06928721070289612,False
"[0.35917073488235474, 0.4488786458969116]",28,0.003926298581063747,0.0701172724366188,False
"[0.3516398072242737, 0.46007224917411804]",6,0.002498430898413062,0.06935551017522812,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.37501880526542664, 0.4316142499446869]",7,0.0024306655395776033,0.06941570341587067,False
"[0.3518891930580139, 0.4597097933292389]",33,0.00043996309977956116,0.06945846974849701,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4007657468318939, 0.4135534167289734]",3,0.00012860204151365906,0.06966547667980194,False
"[0.35051655769348145, 0.4620099365711212]",6,0.0002764921810012311,0.06935551017522812,False
"[0.3430710732936859, 0.47760167717933655]",18,0.0019303658045828342,0.06834635138511658,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.40151938796043396, 0.41323423385620117]",38,0.0008184452308341861,0.06985142827033997,False
"[0.4026139974594116, 0.41270875930786133]",4,0.00017468477017246187,0.07038557529449463,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3444859981536865, 0.47425153851509094]",31,0.0009533210541121662,0.06878868490457535,False
"[0.40125492215156555, 0.4133310914039612]",42,0.00028164434479549527,0.07063651829957962,False
"[0.3801163136959076, 0.4272973835468292]",7,0.004251057747751474,0.06941570341587067,False
"[0.3801163136959076, 0.4272973835468292]",47,0.0,0.06946409493684769,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.40218934416770935, 0.41280418634414673]",4,0.000267094059381634,0.07038557529449463,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.336102157831192, 0.5018988847732544]",21,0.0046348897740244865,0.06862872838973999,False
"[0.3533259630203247, 0.45744383335113525]",22,0.002601386746391654,0.06925015151500702,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.36503487825393677, 0.44167107343673706]",28,0.005367284175008535,0.0701172724366188,False
"[0.34236574172973633, 0.4791048765182495]",40,0.0016604519914835691,0.06888128072023392,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4037089943885803, 0.4122188091278076]",43,0.0011996121611446142,0.06995559483766556,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.34579330682754517, 0.4712689220905304]",15,0.0018717044731602073,0.06928721070289612,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3709128201007843, 0.4354020357131958]",25,0.000605597160756588,0.07013460993766785,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3384098708629608, 0.49118223786354065]",21,0.00633573392406106,0.06862872838973999,False
"[0.3505779504776001, 0.46210360527038574]",39,0.0001119950829888694,0.06896990537643433,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.39174535870552063, 0.4187711477279663]",19,0.004801709204912186,0.06955364346504211,False
"[0.34490424394607544, 0.47302526235580444]",15,9.930214582709596e-05,0.06928721070289612,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.39891406893730164, 0.4146406054496765]",8,0.0008439586381427944,0.07099053263664246,False
"[0.4072555601596832, 0.41036900877952576]",61,0.003999986220151186,0.06983573734760284,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4062454402446747, 0.41092944145202637]",75,0.0011551739880815148,0.07040788233280182,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3825678527355194, 0.4252539575099945]",47,0.0031914939172565937,0.06946409493684769,False
"[0.36165347695350647, 0.44587162137031555]",28,0.00012113875709474087,0.0701172724366188,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3436852693557739, 0.4760828912258148]",18,0.00030407134909182787,0.06834635138511658,False
"[0.35184627771377563, 0.45970889925956726]",36,4.2924657464027405e-05,0.0692409873008728,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.366118460893631, 0.44063904881477356]",58,0.0014964042929932475,0.0699397549033165,False
"[0.3542691767215729, 0.45596277713775635]",22,0.0008455633069388568,0.06925015151500702,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3811701536178589, 0.42647939920425415]",47,0.0013340453151613474,0.06946409493684769,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.3998756408691406, 0.41399794816970825]",8,0.00031277406378649175,0.07099053263664246,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.369069904088974, 0.43730875849723816]",66,0.0026517787482589483,0.07007066160440445,False
"[0.4006541073322296, 0.41361725330352783]",3,0.0,0.06966547667980194,False
"[0.34914687275886536, 0.46463218331336975]",2,0.0001146564245573245,0.06841433793306351,False
"[0.36158111691474915, 0.44584015011787415]",28,6.33476665825583e-05,0.0701172724366188,False
"[0.3357689082622528, 0.503606915473938]",54,0.0017402367666363716,0.0676497295498848,False
"[0.40161970257759094, 0.41311973333358765]",42,0.00015222809452097863,0.07063651829957962,False
