Y,X1,X2,regret,iteration
0.7131486,1.5473115,1.4598083,0.2920109,0.0
0.7840812,1.4988158,1.4461807,0.2920109,1.0
0.8507725,1.4453211,1.4312876,0.2920109,2.0
0.9109783,1.3951663,1.4360737,0.2920109,3.0
0.87254846,1.4130347,1.3845322,0.2920109,4.0
0.901115,1.3959162,1.4323219,0.2920109,5.0
0.8860659,1.4032683,1.4057195,0.2920109,6.0
0.91511077,1.3951663,1.4360737,0.2920109,7.0
0.9168007,1.3951663,1.4360737,0.2920109,8.0
0.9166003,1.3951663,1.4360737,0.2920109,9.0
0.90898246,1.3951663,1.4360737,0.2920109,10.0
0.8999898,1.3996048,1.4161471,0.2920109,11.0
0.9126675,1.3951663,1.4360737,0.2920109,12.0
0.8980157,1.4005096,1.4132817,0.2920109,13.0
0.9233229,1.3949226,1.4380885,0.2920109,14.0
0.8699373,1.4130243,1.3845048,0.2920109,15.0
0.9178947,1.3934418,1.4535778,0.29209536,16.0
0.8971535,1.3980368,1.4217001,0.2920109,17.0
0.87746406,1.407482,1.3953207,0.2920109,18.0
0.9038842,1.3948052,1.4381142,0.2920109,19.0
0.89140886,1.4040182,1.4036554,0.2920109,20.0
0.91868854,1.3951663,1.4360737,0.2920109,21.0
0.909771,1.3951663,1.4360737,0.2920109,22.0
0.90925556,1.3938016,1.4474262,0.2920109,23.0
0.92150503,1.3938019,1.4510514,0.2920109,24.0
0.9253627,1.3935221,1.4557744,0.2920109,25.0
0.8964028,1.3994203,1.4168947,0.2920109,26.0
0.8774537,1.4096785,1.3908917,0.2920109,27.0
0.89608604,1.4066054,1.3976642,0.2920109,28.0
0.8757752,1.4093235,1.3916184,0.2920109,29.0
0.90604967,1.3958533,1.432252,0.2920109,30.0
0.910405,1.3951663,1.4360737,0.2920109,31.0
0.9151787,1.3951663,1.4360737,0.2920109,32.0
0.9022444,1.3984393,1.4207633,0.2920109,33.0
0.90560627,1.3951663,1.4360737,0.2920109,34.0
0.9278887,1.3934208,1.453634,0.2920109,35.0
0.90151674,1.3987093,1.4193354,0.2920109,36.0
0.9073384,1.3964697,1.4300799,0.2920109,37.0
0.87547255,1.411717,1.3870687,0.2920109,38.0
0.91767675,1.3936366,1.4508903,0.2920109,39.0
0.90696263,1.3977913,1.4230504,0.2920109,40.0
0.90143687,1.402782,1.407393,0.2920109,41.0
0.91866,1.3951663,1.4360737,0.2920109,42.0
0.87182015,1.4099841,1.3904697,0.2920109,43.0
0.87459713,1.4112301,1.3879507,0.2920109,44.0
0.90418035,1.3980317,1.4226663,0.2920109,45.0
0.92019975,1.3940725,1.4456252,0.2920109,46.0
0.9042773,1.3966444,1.4287581,0.2920109,47.0
0.9131679,1.3962951,1.4295143,0.2920109,48.0
0.88278204,1.4117384,1.3870076,0.2920109,49.0
0.8948926,1.4053247,1.4004527,0.2920109,50.0
0.92206085,1.3934494,1.455244,0.2920109,51.0
0.8816996,1.4102365,1.3895496,0.2920109,52.0
0.87565166,1.4136245,1.3836563,0.2920109,53.0
0.92249584,1.3951663,1.4360737,0.2920109,54.0
0.9111228,1.39391,1.4470946,0.2920109,55.0
0.92363864,1.393493,1.452095,0.2920109,56.0
0.9062125,1.3951663,1.4360737,0.2920109,57.0
0.907915,1.3951663,1.4360737,0.2920109,58.0
0.9154863,1.3951663,1.4360737,0.2920109,59.0
0.9008452,1.4041235,1.4034296,0.2920109,60.0
0.9051125,1.3947845,1.4391031,0.2920109,61.0
0.89050794,1.406097,1.3984867,0.2920109,62.0
0.896949,1.40417,1.4035183,0.2920109,63.0
0.91489077,1.3951663,1.4360737,0.2920109,64.0
0.91291606,1.3951663,1.4360737,0.2920109,65.0
0.92508495,1.3935628,1.4536765,0.2920109,66.0
0.9052307,1.3951663,1.4360737,0.2920109,67.0
0.89250046,1.3998749,1.4151887,0.2920109,68.0
0.87049,1.4133617,1.3842709,0.2920109,69.0
