Y,X1,X2,X3,X4,X5,X6,regret,iteration,seed,config,timestamp,run_label
0.513797,0.37483507,0.25644332,0.32508332,0.09018916,0.39364243,0.6068782,0.48568982,0.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5419057,0.33055222,0.24762335,0.3262334,0.09007578,0.39368165,0.60687923,0.48568982,1.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5665965,0.28321275,0.2380454,0.32735112,0.09007578,0.39368165,0.60687923,0.48568982,2.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.59055245,0.2331428,0.22805472,0.3286421,0.08995249,0.39368165,0.60687923,0.48568982,3.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.59749556,0.18049113,0.21740173,0.3305584,0.09014558,0.39369354,0.606887,0.48568982,4.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.58314323,0.12707512,0.20654061,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,5.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.55787116,0.07488338,0.1977654,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,6.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.56617653,0.028090332,0.19723517,0.32843283,0.10650824,0.38911676,0.61062163,0.48568982,7.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.52506596,0.025755405,0.19866253,0.3326685,0.09084359,0.3934441,0.60667574,0.48568982,8.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.526945,0.026132971,0.2064263,0.3332362,0.09211038,0.3926257,0.6074857,0.48568982,9.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.53337777,0.028989524,0.19338171,0.33276728,0.088136174,0.3961246,0.6064603,0.48568982,10.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5144207,0.025912434,0.19781378,0.32149047,0.0900292,0.39374185,0.60690445,0.48568982,11.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.51270515,0.02602369,0.2048869,0.3304155,0.08541698,0.39374185,0.60690445,0.48568982,12.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.559826,0.028717164,0.19803596,0.32699093,0.10505486,0.3885459,0.6106883,0.48568982,13.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5160111,0.029847331,0.18780595,0.31524304,0.09355066,0.40172115,0.6020441,0.48568982,14.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5580601,0.0309469,0.18459173,0.32903564,0.10910422,0.39409843,0.6057976,0.48568982,15.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5475258,0.02795884,0.19234605,0.32811826,0.10175585,0.39725396,0.6094114,0.48563486,16.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.54831326,0.034071717,0.1708479,0.3224271,0.09338424,0.3898531,0.60616624,0.48568982,17.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.52877736,0.025210641,0.20424378,0.33268583,0.08999644,0.393775,0.60684574,0.48568982,18.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5609067,0.026644932,0.19972436,0.32792076,0.10673412,0.3887978,0.6102955,0.48568982,19.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.5427785,0.032457147,0.17112389,0.3320545,0.0900292,0.39374185,0.60690445,0.48568982,20.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
0.538514,0.027086496,0.20569396,0.329922,0.091149256,0.39253393,0.60662436,0.48568982,21.0,0,se_hartmann_6D,2026-08-08_14-21-58,hartmann_6D_ucb_constant
